sample_id,space_ranger_outs,has_adt,include,exclusion_stage,exclusion_reason
Pilot_large_1,data/raw/Pilot_large_1/outs,FALSE,TRUE,,
Pilot_small_1,data/raw/Pilot_small_1/outs,FALSE,TRUE,,
Pilot_large_2,data/raw/Pilot_large_2/outs,FALSE,TRUE,,
Pilot_small_2,data/raw/Pilot_small_2/outs,FALSE,FALSE,Seurat QC,Failed Seurat QC
R2_large_2,data/raw/R2_large_2/outs,TRUE,TRUE,,
R2_small_2,data/raw/R2_small_2/outs,TRUE,TRUE,,
R2_small_1,data/raw/R2_small_1/outs,TRUE,TRUE,,
R2_large_1,data/raw/R2_large_1/outs,TRUE,TRUE,,
R3_large_1,data/raw/R3_large_1/outs,TRUE,TRUE,,
R3_large_7,data/raw/R3_large_7/outs,TRUE,TRUE,,
R3_large_2,data/raw/R3_large_2/outs,TRUE,TRUE,,
R3_large_6,data/raw/R3_large_6/outs,TRUE,TRUE,,
R3_large_3,data/raw/R3_large_3/outs,TRUE,TRUE,,
R3_large_5,data/raw/R3_large_5/outs,TRUE,TRUE,,
R3_small_1,data/raw/R3_small_1/outs,TRUE,TRUE,,
R3_large_4,data/raw/R3_large_4/outs,TRUE,TRUE,,
R4_small_1,data/raw/R4_small_1/outs,TRUE,TRUE,,
R4_large_1,data/raw/R4_large_1/outs,TRUE,TRUE,,
R4_large_2,data/raw/R4_large_2/outs,TRUE,TRUE,,
R4_large_3,data/raw/R4_large_3/outs,TRUE,TRUE,,
R4_large_5,data/raw/R4_large_5/outs,TRUE,TRUE,,
R4_small_2,data/raw/R4_small_2/outs,TRUE,TRUE,,
R4_large_4,data/raw/R4_large_4/outs,TRUE,TRUE,,
