Sample_ID,LargeSmall,Adenoma,dens_High,dens_Low,delta_HL
R2_large_1,Large,Normal,0.4444444444444444,0.37488238061632556,0.06956206382811886
R2_large_1,Large,Low-grade,0.0906661411291041,0.10640132615441257,-0.015735185025308476
R2_large_2,Large,Normal,0.21312967335694608,0.16456476824442193,0.04856490511252415
R2_large_2,Large,Low-grade,0.07773615273615274,0.046710189452124934,0.031025963284027805
R2_small_1,Small,Normal,0.13859591797091797,0.22790809264319198,-0.08931217467227401
R2_small_1,Small,Low-grade,0.020634920634920634,0.049528619528619526,-0.02889369889369889
R2_small_2,Small,Normal,0.10457715684988413,0.12329566527518745,-0.01871850842530333
R2_small_2,Small,Low-grade,0.10737639553429026,0.08895154553049289,0.01842485000379737
R3_large_1,Large,Normal,0.140793876904988,0.15872736539540833,-0.017933488490420313
R3_large_1,Large,Low-grade,0.015275159732173306,0.04871681606375484,-0.03344165633158153
R3_large_2,Large,Normal,NA,0.261007511007511,NA
R3_large_2,Large,Low-grade,0.0904247500314916,0.13091476381321232,-0.04049001378172072
R3_large_3,Large,Normal,0.1203136707042957,0.1481588015340876,-0.027845130829791884
R3_large_3,Large,Low-grade,0.018442340039973176,0.04342406825125719,-0.024981728211284016
R3_large_4,Large,Normal,0.10804853041695146,0.1338521809574441,-0.025803650540492648
R3_large_4,Large,Low-grade,0.09838112825125812,0.08553761196728739,0.012843516283970735
R3_large_5,Large,Normal,0.16392168437622984,0.18107422775472568,-0.017152543378495838
R3_large_5,Large,Low-grade,0.09169986605219765,0.12331524432039896,-0.03161537826820131
R3_large_6,Large,Normal,0.1346885141002788,0.12567688328056992,0.009011630819708877
R3_large_6,Large,Low-grade,0.04352461200710228,0.0455166046075137,-0.00199199260041142
R3_large_7,Large,Normal,0.12696235756580584,0.12266336805271232,0.004298989513093529
R3_large_7,Large,Low-grade,0.05319956143218983,0.0993008228171433,-0.04610126138495346
R3_small_1,Small,Normal,NA,0.2742757242757243,NA
R3_small_1,Small,Low-grade,0.12628582679603087,0.21751084023811296,-0.09122501344208209
R4_large_1,Large,Normal,0.14125166772225595,0.20831836281763713,-0.06706669509538118
R4_large_1,Large,Low-grade,0.004525616227743888,0.01612458168309232,-0.011598965455348434
R4_large_2,Large,Normal,0.19092182327476445,0.19805943002145535,-0.007137606746690894
R4_large_2,Large,Low-grade,0.0892941362150921,0.12081483549130607,-0.03152069927621398
R4_large_3,Large,Normal,0.25133931724840813,0.37686425210010116,-0.12552493485169303
R4_large_3,Large,Low-grade,0.13320259514125887,0.11254467025801818,0.020657924883240697
R4_large_4,Large,Normal,0.13892906035763178,0.14325073701282598,-0.004321676655194201
R4_large_4,Large,Low-grade,0.029833520389075944,0.06924943505132185,-0.03941591466224591
R4_large_5,Large,Normal,0.30190138499997654,0.3359472957848409,-0.03404591078486435
R4_large_5,Large,Low-grade,0.05020726627869485,0.04554112554112554,0.00466614073756931
R4_small_1,Small,Normal,0.15544096426449366,0.20053442053442053,-0.04509345626992686
R4_small_1,Small,Low-grade,NA,0.05376190476190476,NA
R4_small_2,Small,Normal,0.2599370326643054,0.21292296139234915,0.047014071271956254
R4_small_2,Small,Low-grade,0.03563161375661376,0.05257436307856476,-0.016942749321951
