Sample_ID,LargeSmall,dens_LGD,dens_Normal,delta_dens,n_src_LGD,n_src_LGD_used,n_src_Normal,n_src_Normal_used,n_tgt_epi
R2_large_1,Large,0.1037565386002886,0.32914335664335664,-0.22538681804306804,162,160,10,10,86
R2_large_2,Large,0.0885040885040885,0.2098921104735058,-0.12138802196941731,34,33,46,43,139
R2_small_1,Small,0.016666666666666666,0.1375542513042513,-0.12088758463758464,15,15,120,120,51
R2_small_2,Small,0.10211323763955343,0.10553915781188508,-0.003425920172331648,19,19,33,33,46
R3_large_1,Large,0.01984278067611401,0.13209393487171264,-0.11225115419559864,450,450,135,135,250
R3_large_2,Large,0.09018187181108529,0.21875,-0.12856812818891472,1336,1335,8,8,325
R3_large_3,Large,0.021197132922796638,0.11810030247530247,-0.09690316955250583,339,339,64,64,235
R3_large_4,Large,0.09905551399057892,0.10795834282676388,-0.008902828836184956,231,231,76,76,168
R3_large_5,Large,0.09559263015895669,0.14788687743233198,-0.05229424727337528,196,196,33,33,91
R3_large_6,Large,0.04329027900456472,0.1367077367077367,-0.09341745770317197,261,259,34,34,54
R3_large_7,Large,0.054840870777426665,0.10196235756580584,-0.04712148678837917,332,331,58,58,93
R3_small_1,Small,0.12628582679603087,0.1443001443001443,-0.01801431750411342,147,147,9,9,133
R4_large_1,Large,0.0046590007930214115,0.14364959659077306,-0.13899059579775164,194,194,53,51,161
R4_large_2,Large,0.08833970042303375,0.1764302690773279,-0.08809056865429414,544,540,17,17,237
R4_large_3,Large,0.13460795428008543,0.23875940527726242,-0.10415145099717699,915,915,57,56,319
R4_large_4,Large,0.03254930254930255,0.1426138676138676,-0.11006456506456505,135,135,84,84,183
R4_large_5,Large,0.056350174373430185,0.2995930907902739,-0.24324291641684373,86,86,71,71,118
R4_small_1,Small,0.28,0.17061487894821228,0.10938512105178774,5,5,18,18,45
R4_small_2,Small,0.08098845598845598,0.2599370326643054,-0.1789485766758494,24,24,11,11,63
