Sample_ID,Adenoma,combined_cluster,k,n,prop
Pilot_large_1,Low-grade,0,260,1981,0.13124684502776376
Pilot_large_1,Low-grade,1,300,1981,0.1514386673397274
Pilot_large_1,Low-grade,2,1102,1981,0.5562847046945987
Pilot_large_1,Low-grade,3,62,1981,0.031297324583543666
Pilot_large_1,Low-grade,4,245,1981,0.12367491166077739
Pilot_large_1,Low-grade,5,7,1981,0.0035335689045936395
Pilot_large_1,Low-grade,6,1,1981,5.047955577990914e-4
Pilot_large_1,Low-grade,7,4,1981,0.0020191822311963654
Pilot_large_1,Low-grade,8,0,1981,0
Pilot_large_1,Normal,0,0,389,0
Pilot_large_1,Normal,1,273,389,0.7017994858611826
Pilot_large_1,Normal,2,0,389,0
Pilot_large_1,Normal,3,19,389,0.04884318766066838
Pilot_large_1,Normal,4,0,389,0
Pilot_large_1,Normal,5,97,389,0.2493573264781491
Pilot_large_1,Normal,6,0,389,0
Pilot_large_1,Normal,7,0,389,0
Pilot_large_1,Normal,8,0,389,0
Pilot_large_2,Low-grade,0,784,2989,0.26229508196721313
Pilot_large_2,Low-grade,1,173,2989,0.057878889260622284
Pilot_large_2,Low-grade,2,1155,2989,0.3864168618266979
Pilot_large_2,Low-grade,3,90,2989,0.03011040481766477
Pilot_large_2,Low-grade,4,747,2989,0.2499163599866176
Pilot_large_2,Low-grade,5,25,2989,0.008364001338240215
Pilot_large_2,Low-grade,6,4,2989,0.0013382402141184342
Pilot_large_2,Low-grade,7,11,2989,0.0036801605888256944
Pilot_large_2,Low-grade,8,0,2989,0
Pilot_large_2,Normal,0,26,331,0.07854984894259819
Pilot_large_2,Normal,1,206,331,0.622356495468278
Pilot_large_2,Normal,2,0,331,0
Pilot_large_2,Normal,3,24,331,0.07250755287009064
Pilot_large_2,Normal,4,3,331,0.00906344410876133
Pilot_large_2,Normal,5,65,331,0.19637462235649547
Pilot_large_2,Normal,6,7,331,0.021148036253776436
Pilot_large_2,Normal,7,0,331,0
Pilot_large_2,Normal,8,0,331,0
Pilot_small_1,Low-grade,0,54,393,0.13740458015267176
Pilot_small_1,Low-grade,1,16,393,0.04071246819338423
Pilot_small_1,Low-grade,2,229,393,0.58269720101781175
Pilot_small_1,Low-grade,3,32,393,0.08142493638676845
Pilot_small_1,Low-grade,4,62,393,0.15776081424936386
Pilot_small_1,Low-grade,5,0,393,0
Pilot_small_1,Low-grade,6,0,393,0
Pilot_small_1,Low-grade,7,0,393,0
Pilot_small_1,Low-grade,8,0,393,0
Pilot_small_1,Normal,0,134,661,0.2027231467473525
Pilot_small_1,Normal,1,128,661,0.19364599092284418
Pilot_small_1,Normal,2,22,661,0.03328290468986384
Pilot_small_1,Normal,3,300,661,0.45385779122541603
Pilot_small_1,Normal,4,39,661,0.059001512859304085
Pilot_small_1,Normal,5,4,661,0.006051437216338881
Pilot_small_1,Normal,6,30,661,0.0453857791225416
Pilot_small_1,Normal,7,4,661,0.006051437216338881
Pilot_small_1,Normal,8,0,661,0
R2_large_1,Low-grade,0,96,409,0.23471882640586797
R2_large_1,Low-grade,1,43,409,0.10513447432762836
R2_large_1,Low-grade,2,46,409,0.11246943765281174
R2_large_1,Low-grade,3,28,409,0.06845965770171149
R2_large_1,Low-grade,4,178,409,0.4352078239608802
R2_large_1,Low-grade,5,1,409,0.0024449877750611247
R2_large_1,Low-grade,6,10,409,0.02444987775061125
R2_large_1,Low-grade,7,3,409,0.007334963325183374
R2_large_1,Low-grade,8,4,409,0.009779951100244499
R2_large_1,Normal,0,10,127,0.07874015748031496
R2_large_1,Normal,1,43,127,0.33858267716535434
R2_large_1,Normal,2,1,127,0.007874015748031496
R2_large_1,Normal,3,37,127,0.29133858267716534
R2_large_1,Normal,4,8,127,0.06299212598425197
R2_large_1,Normal,5,0,127,0
R2_large_1,Normal,6,21,127,0.16535433070866143
R2_large_1,Normal,7,7,127,0.05511811023622047
R2_large_1,Normal,8,0,127,0
R2_large_2,Low-grade,0,32,242,0.1322314049586777
