Sample_ID,LargeSmall,combined_cluster,k,n,prop
Pilot_large_1,Large,0,288,2731,0.10545587696814354
Pilot_large_1,Large,1,677,2731,0.24789454412303186
Pilot_large_1,Large,2,1129,2731,0.4134016843647016
Pilot_large_1,Large,3,95,2731,0.03478579274990846
Pilot_large_1,Large,4,257,2731,0.0941047235444892
Pilot_large_1,Large,5,280,2731,0.10252654705236178
Pilot_large_1,Large,6,1,2731,3.661662394727206e-4
Pilot_large_1,Large,7,4,2731,0.0014646649578908824
Pilot_large_1,Large,8,0,2731,0
Pilot_large_2,Large,0,833,3841,0.21687060661286123
Pilot_large_2,Large,1,560,3841,0.1457953657901588
Pilot_large_2,Large,2,1169,3841,0.30434782608695654
Pilot_large_2,Large,3,116,3841,0.03020046862796147
Pilot_large_2,Large,4,760,3841,0.1978651392866441
Pilot_large_2,Large,5,367,3841,0.09554803436605051
Pilot_large_2,Large,6,11,3841,0.002863837542306691
Pilot_large_2,Large,7,25,3841,0.006508721687060661
Pilot_large_2,Large,8,0,3841,0
Pilot_small_1,Small,0,205,1322,0.1550680786686838
Pilot_small_1,Small,1,183,1322,0.13842662632375188
Pilot_small_1,Small,2,256,1322,0.19364599092284418
Pilot_small_1,Small,3,374,1322,0.28290468986384265
Pilot_small_1,Small,4,108,1322,0.08169440242057488
Pilot_small_1,Small,5,131,1322,0.09909228441754916
Pilot_small_1,Small,6,34,1322,0.025718608169440244
Pilot_small_1,Small,7,31,1322,0.023449319213313162
Pilot_small_1,Small,8,0,1322,0
R2_large_1,Large,0,129,1198,0.10767946577629382
R2_large_1,Large,1,300,1198,0.25041736227045075
R2_large_1,Large,2,47,1198,0.03923205342237062
R2_large_1,Large,3,85,1198,0.0709515859766277
R2_large_1,Large,4,197,1198,0.164440734557596
R2_large_1,Large,5,218,1198,0.18196994991652754
R2_large_1,Large,6,33,1198,0.027545909849749584
R2_large_1,Large,7,185,1198,0.15442404006677796
R2_large_1,Large,8,4,1198,0.00333889816360601
