p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,delta_pct
0,1.077501418992449,0.821,0.585,0,0,LEFTY1,0.236
0,1.0917851289977665,0.636,0.454,0,0,RETNLB,0.182
0,0.8530282131917175,0.831,0.676,0,0,ATP2C2,0.15499999999999992
0,0.9289310795687444,0.729,0.58,0,0,WNK2,0.14900000000000002
0,0.9493496145896669,0.934,0.787,0,0,CLCA1,0.14700000000000002
0,0.8230567769448154,0.989,0.891,0,0,TFF3,0.09799999999999998
1.3067502055945383e-298,1.2235651767830666,0.626,0.446,2.3632577468177226e-294,0,WFDC2,0.18
7.055668145883147e-286,0.6641317671842542,0.792,0.651,1.2760175841829672e-281,0,PLCB4,0.14100000000000001
2.1863834008958955e-278,1.17216661850572,0.569,0.394,3.954074380520227e-274,0,GALNT8,0.17499999999999993
2.0739884432830123e-274,0.6705568826615556,0.781,0.66,3.7508080996773276e-270,0,TMEM63A,0.121
2.2863354244803583e-241,0.5471578510876727,0.876,0.775,4.134837615172728e-237,0,BAG1,0.10099999999999998
2.0792212977081273e-235,0.6534366948862707,0.775,0.661,3.760271716905148e-231,0,MLPH,0.11399999999999999
1.28372570814007e-230,0.7659504738166327,0.668,0.528,2.321617943171317e-226,0,KIAA1324,0.14
3.4111606462376517e-222,0.6287749774949187,0.763,0.653,6.169084028720793e-218,0,NXPE1,0.10999999999999999
1.1543311534587673e-216,0.8891011802083505,0.609,0.474,2.0876078910301805e-212,0,CDHR1,0.135
3.911628999077501e-216,0.6871226585683992,0.729,0.621,7.07418104483166e-212,0,CRACR2B,0.10799999999999998
3.7370255958980735e-214,0.857147435010857,0.624,0.482,6.758410790181665e-210,0,RGMB,0.14200000000000002
1.3516861344389196e-205,0.781281653095812,0.648,0.543,2.444524374132786e-201,0,WNK4,0.10499999999999998
1.3685421950990159e-204,0.39214131585028333,0.947,0.813,2.47500855983657e-200,0,OLFM4,0.134
1.538111678782753e-200,0.5533792531906334,0.82,0.713,2.7816749710786086e-196,0,NPDC1,0.10699999999999998
1.2634615304707537e-189,0.7902757546648913,0.667,0.534,2.2849701778563582e-185,0,HES6,0.133
