gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ICA1,2.7084865171216453e-93,0.9606884115509168,0.913,0.795,4.8982978662144954e-89
TRIM31,1.1315309692312985e-86,1.2118018416248086,0.795,0.585,2.0463737578548034e-82
SULT1C2,2.338444864176002e-81,2.0876966864816855,0.539,0.198,4.2290775368623e-77
HAAO,5.910592062701867e-72,1.6980376169437223,0.544,0.217,1.0689305745396327e-67
GPCPD1,2.479342344446733e-69,0.8000211057454841,0.867,0.756,4.483890629931917e-65
DAB2,1.7465066541613308e-67,0.9043302699132165,0.821,0.692,3.1585572840507665e-63
CYP3A5,2.651079593174293e-66,0.8489012193682888,0.886,0.766,4.7944774442557095e-62
NXPE4,1.4365086754061361e-65,0.724616217897768,0.861,0.736,2.597925939471997e-61
CCDC183,3.3283351918129545e-64,1.5633242211985718,0.645,0.447,6.019294194393729e-60
VWA2,9.132566130267031e-63,1.0550829313513688,0.759,0.587,1.6516245846587925e-58
SEC16B,4.843747430594813e-61,1.0939211760782732,0.731,0.537,8.759917228230719e-57
SLC3A1,1.5951425906536523e-59,1.1252035307532011,0.655,0.384,2.88481537519713e-55
CCL20,1.7540575236128174e-59,1.7769082133469885,0.576,0.328,3.1722130314537802e-55
QPCT,1.909465999761339e-56,1.5276227893428769,0.538,0.296,3.453269260568381e-52
TMC5,6.178292572015279e-49,0.8141343710599682,0.808,0.701,1.1173442116489632e-44
COL17A1,6.201441550134864e-49,1.058076559506727,0.737,0.605,1.1215307043418901e-44
GDF15,5.440781351688326e-47,1.1380750457505453,0.718,0.57,9.839653074528337e-43
NFAT5,4.402456585126114e-45,0.7404039069698076,0.808,0.7,7.961842734200577e-41
WDR27,7.099252325808124e-44,0.9314420063574929,0.7,0.554,1.2838997831223993e-39
IFRD1,2.1267302485130005e-43,0.8665437191271992,0.761,0.633,3.8461916544357614e-39
COL9A2,8.610119797600923e-43,1.3213598376816618,0.561,0.382,1.557140165396127e-38
AKAP7,1.7466279003593327e-42,1.1987507647863689,0.664,0.54,3.1587765577998533e-38
SATB1,1.8725610314771385e-36,0.7522314571489204,0.72,0.605,3.386526625426405e-32
MROH7,2.0799411948736653e-36,1.0292119804084967,0.495,0.262,3.7615736509290237e-32
TAF1D,4.846678523746986e-36,0.6118838562436957,0.807,0.705,8.765218110196424e-32
EDN1,7.255109686228842e-36,1.7860588754782265,0.417,0.232,1.312086586754486e-31
MTMR11,4.764479284230716e-35,0.5288822440431389,0.826,0.711,8.61656078553125e-31
ALG13,1.773481741820019e-32,0.6479971225514617,0.759,0.658,3.207341730081505e-28
CLK1,1.8879071868986763e-32,0.6679098715284844,0.758,0.655,3.414280147506256e-28
C3orf52,2.0460466154640444e-32,0.7830613116050377,0.716,0.61,3.700275304066724e-28
ABCA5,2.447234704661166e-31,0.6214872966289551,0.77,0.669,4.425823963379719e-27
ADAT2,4.691443885482622e-31,0.6892652335401098,0.693,0.568,8.484476266895323e-27
HOXB8,1.059296559729531e-30,0.8660063452951621,0.607,0.455,1.915737828270857e-26
RASA2,8.125601853944181e-30,0.5911223362883733,0.813,0.709,1.4695150952858051e-25
TUT4,1.3850016764541867e-29,0.8197842217507614,0.652,0.522,2.504775531867397e-25
MAPRE3,8.802602887559842e-29,0.8533302474116754,0.591,0.442,1.5919507322151975e-24
CADPS,5.687147326575604e-28,0.7506679570917151,0.626,0.484,1.0285205940111981e-23
NR4A1,1.1444489795553298e-27,1.3233356553262838,0.566,0.445,2.069735979525814e-23
HOOK3,3.552317286387635e-27,0.6339364534833354,0.726,0.624,6.424365812432038e-23
L3HYPDH,4.951327107403284e-26,0.6987776747614213,0.689,0.578,8.95447507373884e-22
CAPN9,9.843465939173937e-26,0.6003440358808162,0.66,0.522,1.7801908150996063e-21
IDUA,1.282870462944776e-25,0.7620102040071386,0.584,0.46,2.3200712322356273e-21
ST3GAL4,1.4995293479690216e-25,0.6723447586543211,0.696,0.593,2.7118988258019758e-21
DAPP1,5.102768773461555e-25,1.4804927047063017,0.368,0.217,9.228357326805221e-21
OXER1,6.658516652472704e-25,1.316039298394242,0.305,0.136,1.2041927365996886e-20
SESN3,9.138024291964752e-25,0.7136777562017615,0.627,0.493,1.6526116932018255e-20
HOXA13,1.2272133584861156e-24,0.6406084303406259,0.67,0.522,2.21941535882214e-20
DHRSX,1.79273873257819e-24,0.8979037359498311,0.576,0.465,3.242167997867657e-20
PLA2R1,7.566004830505944e-24,0.8404082435029367,0.526,0.367,1.368311973597e-19
MAST4,1.420400952029807e-23,0.8248815721008906,0.583,0.461,2.568795121745906e-19
CCSER1,4.4276989896080683e-23,0.8834321573674376,0.549,0.435,8.007493622706192e-19
ABCA1,7.641185340894575e-23,0.7488813515496051,0.612,0.491,1.381908368900784e-18
TACSTD2,9.753147990700647e-23,1.4511946466805732,0.381,0.235,1.763856814118212e-18
WDR60,2.193140644283102e-22,0.6762733456861553,0.655,0.55,3.96629485518599e-18
CYP2S1,2.3910626025228046e-22,0.8771883661554241,0.56,0.46,4.324236716662492e-18
FOS,2.8232120979316803e-22,1.0163867679406657,0.614,0.509,5.105779079109444e-18
ANKRA2,3.077151813635144e-22,0.6230377673276248,0.662,0.559,5.565029054959158e-18
GLRA2,1.523424144507764e-21,1.3969817505885302,0.246,0.098,2.7551125653422914e-17
CCDC146,2.9794530513407882e-21,1.239870163096598,0.333,0.182,5.3883408433498154e-17
ABCB1,3.402712790112205e-21,0.6097894899015981,0.534,0.374,6.153806080917923e-17
MMP7,7.467847095593058e-21,1.9002813329019625,0.357,0.222,1.3505601472380047e-16
DAPK1,4.317767435163596e-20,0.8461898862393339,0.527,0.426,7.808682406493363e-16
NAAA,9.672421984473544e-20,0.7783695767895583,0.535,0.432,1.7492575158920406e-15
CDRT4,1.1542129905081905e-19,0.5881035181071974,0.604,0.487,2.0873941933340625e-15
RETREG1,1.2879600182377587e-19,1.0061707160443605,0.441,0.318,2.3292756929829866e-15
THNSL2,2.0509979675158817e-19,1.0010932924623666,0.464,0.342,3.709229824252472e-15
CNTN3,5.778953306905647e-19,0.9930769291572679,0.388,0.247,1.0451237055538863e-14
TMEM178B,9.842040599273042e-19,1.8851042365893567,0.191,0.07,1.7799330423785297e-14
FAM135A,1.6464611804476094e-18,0.8352614913346323,0.501,0.4,2.9776250448395014e-14
ITGA9,2.255400380650009e-18,1.1112234944982096,0.435,0.325,4.078891588405541e-14
PTP4A3,3.9963387529238814e-18,0.9776622162968596,0.519,0.399,7.227378634662839e-14
NABP1,4.779327643759499e-18,0.828280467111833,0.499,0.39,8.643414043739055e-14
ANKDD1B,6.502936368626212e-17,0.48061260833325514,0.623,0.489,1.1760560422660504e-12
BNIP5,4.082443403496438e-16,1.105670932962503,0.376,0.267,7.383098895223308e-12
LAMA3,5.605241117559075e-16,0.6651113793108833,0.571,0.44,1.0137078561105587e-11
ACSF2,7.0450926176882575e-16,0.3549528627642543,0.654,0.539,1.2741049999089214e-11
PPP1R14C,1.3496173494765375e-15,0.34299736456114543,0.682,0.563,2.440782976528318e-11
