gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
AXIN2,2.296002940689081e-57,2.979571795291367,0.903,0.306,4.152321318236203e-53
SLC12A2,4.821665145146414e-54,2.2886874423028143,0.953,0.483,8.71998141499729e-50
CD44,1.029381931172255e-51,1.8233509003693509,0.973,0.65,1.861637222525023e-47
S100P,6.548393357663235e-48,2.4487637213146267,0.934,0.439,1.184276938733396e-43
CCND2,6.506279713964217e-42,1.774760659383236,0.911,0.522,1.1766606862704286e-37
ITGA6,9.29316972566527e-41,1.2931746174293932,0.973,0.772,1.6806697448865643e-36
IGFBP2,1.6448551886973859e-40,1.8760129830404295,0.911,0.494,2.9747206087592225e-36
CEMIP,1.1516750715387825e-38,3.5401610108823496,0.703,0.106,2.082804366877888e-34
OLFM4,1.5100236015053021e-37,2.0781114302414094,0.946,0.594,2.730877683322339e-33
GMDS,2.2560985607974625e-37,1.2334241232846015,0.988,0.783,4.080154247202211e-33
RNF43,1.1224617035062575e-36,2.156053966126758,0.819,0.267,2.0299719907910669e-32
ENC1,8.264166225053471e-36,1.5081509313824792,0.924,0.611,1.4945744618009201e-31
GGH,5.371604226514682e-34,2.126543448037678,0.823,0.322,9.714546243651802e-30
MYC,2.3164040613185202e-33,1.8717629578241588,0.839,0.328,4.189216744894544e-29
ETS2,3.478322835509424e-33,1.2584363574217865,0.961,0.717,6.290546848018793e-29
GPX2,4.772350422680446e-33,1.6677233384751573,0.872,0.444,8.630795739417586e-29
SAMD5,1.2043908710297001e-32,2.11149449249126,0.763,0.194,2.1781408902572126e-28
LRATD1,1.4633833531600366e-32,1.2097289231011057,0.967,0.783,2.6465287941899264e-28
FERMT1,2.3226721388842596e-31,1.5546677688529362,0.858,0.456,4.200552563172183e-27
PLCB4,3.58087631609805e-31,1.5661846414122527,0.918,0.528,6.476014817663323e-27
MET,5.7948297005931515e-31,1.9256817720517874,0.804,0.3,1.0479949513522714e-26
ASCL2,6.129123299967886e-31,2.3297693222485165,0.736,0.239,1.1084519487991922e-26
SRPK1,7.470364823021704e-31,1.235401180345605,0.926,0.667,1.3510154782434752e-26
HIST1H1B,1.0058694214629825e-30,1.8696923391801274,0.882,0.522,1.819114848715804e-26
HOXB9,3.0582245674033976e-30,1.3994360059003252,0.911,0.556,5.530799130149044e-26
EPHB2,2.1292584122230928e-29,1.9404419513167794,0.786,0.311,3.8507638385054633e-25
ZNF703,5.210241515577892e-28,1.2540133204750452,0.926,0.578,9.422721780922618e-24
ALDH1B1,6.753028824718035e-28,1.664604006720725,0.823,0.372,1.2212852629502567e-23
NQO1,1.032189899138192e-27,1.2241039768479953,0.94,0.672,1.86671543259142e-23
MYB,1.0475484750263339e-27,1.5592787832299375,0.831,0.367,1.8944914170851248e-23
HELLS,1.0699591733418408e-27,1.8209677510891953,0.808,0.322,1.935021164988719e-23
RETNLB,1.26088222451559e-27,2.2932824728960197,0.672,0.161,2.2803055030364446e-23
SPINK1,1.340661726576438e-27,1.4234760099140036,0.864,0.428,2.4245867325134883e-23
ID1,3.751496470902249e-26,1.0445429811499574,0.973,0.794,6.784581367626717e-22
MACROD1,4.758151677765655e-26,1.7049268786340641,0.786,0.306,8.605117309239187e-22
TRAP1,6.616984376441302e-26,1.4601215980208546,0.812,0.389,1.1966816244794095e-21
MARCKSL1,1.0553927911877573e-24,0.9031100759979558,0.971,0.844,1.908677862863059e-20
MKI67,2.162844708846032e-24,2.036024688651768,0.68,0.233,3.911504655948049e-20
MLEC,4.2275577978319854e-24,0.9920329138776194,0.953,0.711,7.645538277379145e-20
PROX1,2.0321570660093988e-23,2.5196658410256254,0.596,0.139,3.6751560538779975e-19
RACK1,4.4526235074542533e-23,0.9758098151375447,0.948,0.7,8.052569613231017e-19
EIF4A1,4.5990109411600175e-23,0.96739490038387,0.934,0.806,8.317311287087892e-19
MTHFD1,4.827975113209247e-23,1.689143760071913,0.691,0.211,8.731392992238923e-19
KIF13A,6.203682783585942e-23,1.2181550526321006,0.849,0.45,1.1219360314115177e-18
EPHB3,7.103914739592688e-23,2.1838906242047527,0.649,0.194,1.2847429806553376e-18
TPX2,7.860175234867759e-23,2.148537400614991,0.61,0.161,1.4215126912258341e-18
BACE2,1.078902418628433e-22,1.4004842360170322,0.792,0.411,1.951195024089521e-18
PA2G4,1.2769696608124012e-22,1.1620436974736927,0.893,0.6,2.3093996315792276e-18
LCN2,1.4309652208656425e-22,1.2897251922908568,0.946,0.639,2.5879006019355146e-18
TYMS,1.6427917988840452e-22,1.7497488493967015,0.693,0.25,2.9709889682817956e-18
ANXA3,1.788157448069804e-22,1.2663305519411316,0.827,0.439,3.2338827448342404e-18
NKD1,1.9942197314155753e-22,2.667668192821915,0.548,0.117,3.606546384265068e-18
MCM3,2.5103566483590697e-22,1.7013282297741088,0.722,0.294,4.539979998557378e-18
PKM,3.7600550593111224e-22,1.222943281027538,0.866,0.556,6.800059574764165e-18
LRPPRC,6.12849746695616e-22,0.9783156530192834,0.907,0.661,1.1083387668990214e-17
EPHB4,6.4205823800700415e-22,1.4383335613534203,0.689,0.217,1.161162323435667e-17
