gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CD44,1.029381931172255e-51,1.8233509003693509,0.973,0.65,1.861637222525023e-47
IGFBP2,1.6448551886973859e-40,1.8760129830404295,0.911,0.494,2.9747206087592225e-36
CEMIP,1.1516750715387825e-38,3.5401610108823496,0.703,0.106,2.082804366877888e-34
OLFM4,1.5100236015053021e-37,2.0781114302414094,0.946,0.594,2.730877683322339e-33
GGH,5.371604226514682e-34,2.126543448037678,0.823,0.322,9.714546243651802e-30
MET,5.7948297005931515e-31,1.9256817720517874,0.804,0.3,1.0479949513522714e-26
EPHB2,2.1292584122230928e-29,1.9404419513167794,0.786,0.311,3.8507638385054633e-25
RETNLB,1.26088222451559e-27,2.2932824728960197,0.672,0.161,2.2803055030364446e-23
SPINK1,1.340661726576438e-27,1.4234760099140036,0.864,0.428,2.4245867325134883e-23
BACE2,1.078902418628433e-22,1.4004842360170322,0.792,0.411,1.951195024089521e-18
LCN2,1.4309652208656425e-22,1.2897251922908568,0.946,0.639,2.5879006019355146e-18
HMGB2,1.1345819068204116e-19,1.4098848192000788,0.728,0.306,2.0518913784847142e-15
CCL24,7.341326997857286e-19,1.4261813862520332,0.695,0.294,1.3276789875624902e-14
DPEP1,2.6083552830626295e-18,1.9443883688087624,0.507,0.111,4.717210529418765e-14
REG4,3.3628806192933602e-18,1.3343773223629132,0.788,0.406,6.081769599992042e-14
MIF,4.9220138020567134e-18,1.5059912962700852,0.689,0.311,8.901461961019566e-14
GDF15,7.078372143510424e-18,1.7715791107882137,0.551,0.15,1.2801236021538602e-13
SEMA3F,1.0219696671295087e-15,1.7068136101246607,0.553,0.189,1.8482321430037164e-11
HSP90AB1,2.83577514796203e-15,0.9391094710625272,0.845,0.567,5.1284993550893315e-11
VWA2,4.7655118971466626e-15,1.5207570509789885,0.548,0.178,8.618428265989739e-11
SNORC,4.943100668813648e-15,1.135960330146255,0.697,0.322,8.939597559549483e-11
NENF,1.6164565895388025e-14,0.9645565958193585,0.769,0.433,2.9233617421809245e-10
FAT1,1.933544334238688e-14,0.8168181309095837,0.911,0.739,3.4968149284706674e-10
AGR2,3.160587756935312e-14,0.747725408811498,0.87,0.583,5.715922958417512e-10
CXCL3,3.979032541066857e-14,1.6365398985567294,0.489,0.144,7.196080350519411e-10
QPCT,6.101574556584662e-14,1.935476866899674,0.4,0.078,1.1034697585583362e-9
HDGF,9.126400835567748e-14,0.7616248063244909,0.918,0.744,1.6505095911124272e-9
C1QBP,1.1750953928388257e-13,1.5484436300677804,0.495,0.156,2.1251600179490162e-9
GPI,6.634223909267705e-13,1.1882929645582363,0.577,0.211,1.1997993939910643e-8
SERPINB5,1.2309305740117413e-12,2.4238892578311915,0.355,0.072,2.226137943100234e-8
MSLN,1.5760360956407715e-12,2.488584727308701,0.381,0.094,2.8502612789663352e-8
KLK11,1.9357602146723503e-12,2.7164488267360754,0.318,0.05,3.5008223482349456e-8
YBX1,2.6117577996862208e-12,0.7375230824891533,0.845,0.65,4.7233639807325305e-8
SPINK4,6.598487940662238e-12,1.274595975051085,0.697,0.394,1.1933365440687658e-7
TNFRSF11A,2.283920208942064e-11,0.9450552063326412,0.643,0.311,4.130469697871723e-7
LIPG,2.4596247962633906e-11,1.8437180012761623,0.373,0.094,4.448231444042342e-7
IL17RB,2.5390304912161733e-11,2.0122790770775723,0.33,0.067,4.5918366433644494e-7
PLA2G12A,2.9828524342025047e-11,0.7443378452355234,0.804,0.489,5.39448862725523e-7
LRP8,4.51329119209858e-11,2.0098638740494024,0.334,0.072,8.162287120910282e-7
MUC5B,5.66124181102109e-11,1.170450050003325,0.511,0.206,1.0238355815231642e-6
MMP7,6.3102794082273e-11,3.12602102764002,0.299,0.056,1.1412140309779072e-6
CNPY2,8.077569604004004e-11,0.7535368590371758,0.757,0.45,1.460828462884124e-6
ALCAM,9.721174294016779e-11,0.9198423795761985,0.645,0.306,1.7580743710729345e-6
ADGRG1,1.363135067393531e-10,0.8599712099330974,0.732,0.411,2.465229769381201e-6
CXCL2,1.5483984078297147e-10,1.9699540647253198,0.332,0.078,2.800278520560039e-6
PTK7,2.982895634658955e-10,1.8607999563440625,0.338,0.089,5.39456675528072e-6
KLK10,3.512935630820026e-10,3.79423834154302,0.212,0.011,6.353144088338017e-6
AZGP1,3.62996197850391e-10,1.1485793435473155,0.421,0.133,6.564786238124322e-6
LCN15,4.2282723721451673e-10,2.357234687088496,0.338,0.094,7.646830585024535e-6
PPIA,4.5729417666104414e-10,0.8332623636389993,0.728,0.45,8.270165184914984e-6
LFNG,1.4624542316044527e-9,0.8097086916086969,0.707,0.406,2.6448484778566528e-5
CRTAP,2.1603034801874315e-9,0.6589823954094405,0.802,0.539,3.90690884391897e-5
CHID1,3.1182596783801593e-9,0.6549156156333237,0.8,0.506,5.639372628350518e-5
THEM6,7.351538475824538e-9,1.0012638494989485,0.503,0.217,1.3295257333528675e-4
MANEAL,1.0407531624210368e-8,1.5831026750596475,0.344,0.111,1.8822020942384451e-4
ADAMTS9,1.1021754200456344e-8,1.0754928834577266,0.454,0.183,1.9932842471525298e-4
REG1A,1.5568304561414253e-8,2.7591211599121195,0.293,0.083,2.8155278799317675e-4
NECTIN1,1.7529923585183155e-8,1.218378888155118,0.408,0.15,3.1702866803803734e-4
CXCL1,2.1820418950457583e-8,1.3842532020921836,0.379,0.139,3.9462227671902537e-4
PILRB,2.872031333338863e-8,0.4305790060924657,0.936,0.778,5.194068666343333e-4
ABCB6,4.04162198410941e-8,1.1514870622950635,0.373,0.133,7.309273358261868e-4
GPC4,4.211288681132193e-8,1.3673193089152007,0.344,0.117,7.616115579827571e-4
TCN1,5.551896557553132e-8,2.1428462069123126,0.212,0.033,0.001004060492433484
DEFA6,6.164208316840775e-8,2.8954306866292594,0.225,0.044,0.0011147970741006543
SUMF2,7.23461916738489e-8,0.5818625802697193,0.87,0.639,0.0013083808764215573
FKBP9,7.595986508153392e-8,0.7022965923021502,0.631,0.339,0.001373734159999541
SOD3,7.759830923278905e-8,0.9903544038323363,0.635,0.356,0.0014033654224749898
VWA1,8.185435328547218e-8,0.7361587138849333,0.571,0.294,0.0014803359791677644
NOTUM,1.2569477480997689e-7,3.2286011682875153,0.198,0.033,0.002273190002438432
COL12A1,1.4485996109419976e-7,1.8530686531304001,0.258,0.067,0.0026197923963886026
PRSS23,1.8178887611087626e-7,0.6937616740218553,0.812,0.567,0.003287651824465197
ACP6,2.5862186932870127e-7,0.8781669860424182,0.431,0.183,0.004677176506809562
EPDR1,2.951354782896881e-7,0.9270985588222793,0.416,0.178,0.005337525124869009
NSUN2,4.2247216189521414e-7,0.6529892214314978,0.718,0.489,0.007640409047874948
LAMB2,4.3043265245076013e-7,0.5789744866965336,0.532,0.25,0.007784374519571997
GATD1,4.3807197354719934e-7,0.6119792462298513,0.757,0.489,0.0079225316416011
ECM1,4.630868190594597e-7,0.7461777526736866,0.565,0.294,0.008374925122690328
KAZALD1,5.025358481778923e-7,1.0229615437673436,0.363,0.144,0.009088360814297184
SRPX2,5.074705984779417e-7,1.0934717983236664,0.33,0.122,0.009177605773473575
B3GALNT2,5.163084960793992e-7,0.8604213862039123,0.367,0.139,0.009337439151595935
