gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
LGR5,0,2.1546324799375824,0.935,0.345,0
DACH1,0,1.5795192509453662,0.901,0.402,0
PCSK1,0,2.639034738100277,0.565,0.068,0
TGFBI,0,1.9583622022111633,0.921,0.513,0
EPHB3,0,1.5380742030417318,0.977,0.572,0
ASCL2,0,1.9182400457645383,0.999,0.605,0
EPHB2,0,1.26745000722719,0.981,0.701,0
KIAA1324,0,1.2668420270762446,0.981,0.715,0
RNF43,0,1.1643252091185297,0.99,0.749,0
AXIN2,0,1.1044626904265187,0.997,0.819,0
SLC6A6,1.0197796225770605e-306,1.5119123307395146,0.85,0.314,1.844271447430614e-302
NKD1,1.6241653723373901e-288,1.676655667707971,0.839,0.331,2.93730307587217e-284
SMAD9,3.0228560172739e-279,1.608933944035202,0.799,0.316,5.4668351072398485e-275
APCDD1,1.1782641499527793e-277,2.209775083789447,0.713,0.225,2.1308907151896015e-273
PTK7,7.466351476040498e-274,1.7535979501205856,0.675,0.164,1.350289664441924e-269
ITGA9,1.2288365955860522e-267,1.738005969052939,0.702,0.2,2.2223509831173755e-263
RGMB,1.3320414965343566e-266,1.411936295290916,0.964,0.633,2.408997046482384e-262
PROX1,2.3606983623104722e-264,1.3170081706233638,0.914,0.452,4.269322988238489e-260
PRAC1,1.3072066804551287e-261,2.132003595724805,0.728,0.345,2.3640832816031004e-257
CLDN2,2.0713240802636734e-253,1.9410881325687068,0.66,0.171,3.7459895991568536e-249
CDCA7,3.8946154003949756e-253,1.3716075802589611,0.784,0.264,7.043411951614314e-249
PHLDA1,1.8972822748174753e-248,1.297921144484707,0.847,0.353,3.431234994007404e-244
SESN1,1.193424132026139e-241,1.3296447397129652,0.844,0.408,2.1583075427692725e-237
RACK1,2.1113878450203027e-241,0.8176530826233641,0.993,0.89,3.818444917719217e-237
LEFTY1,8.478400177263203e-236,1.281022020736344,0.943,0.597,1.5333186720580503e-231
TCN1,2.483052337111764e-235,2.4316853083358154,0.516,0.093,4.490600151666625e-231
SHF,2.272170126200482e-234,1.2712034477364196,0.703,0.204,4.1092196732335716e-230
MAP3K20,4.662763032242725e-234,1.293075203629665,0.78,0.277,8.432606943810968e-230
PGGHG,9.514247081663143e-229,1.0636033883287859,0.931,0.526,1.7206515847187794e-224
CYP4X1,3.4421831034174306e-219,1.8259084848018332,0.57,0.131,6.225188142530423e-215
SAMD5,9.374083530959402e-217,0.8761508187775751,0.96,0.646,1.695303006574008e-212
SOX9,6.425618156563843e-214,1.0167740882982885,0.911,0.544,1.162073043614571e-209
CFTR,2.7993297631990083e-208,0.9091069343482976,0.953,0.692,5.062587876745406e-204
SLITRK6,3.5133273374274546e-208,1.65664517945839,0.646,0.221,6.353852489737551e-204
GOLIM4,2.8367925265214872e-205,0.8637197418653222,0.972,0.797,5.13033928421411e-201
ATOH8,2.618505611801697e-204,1.3709809173106042,0.725,0.291,4.735567398943369e-200
TMEM63A,2.6641532806916325e-204,0.6910007238330123,0.995,0.889,4.818121208130817e-200
DEFA6,8.798480687147419e-204,2.4851192683265433,0.57,0.164,1.5912052322706107e-199
PLEKHB1,2.4596224134229643e-202,1.237895386011019,0.668,0.211,4.448227134675431e-198
ITGB8,1.9531580154966215e-197,0.9356819105656069,0.833,0.347,3.53228627102564e-193
CCL24,3.861498434319252e-196,1.2186165921638745,0.861,0.48,6.983519918466368e-192
FOXA2,1.1939316655026256e-193,1.3568061638051,0.654,0.221,2.1592254170614985e-189
KIF12,1.989293610142145e-191,1.0490540137535875,0.802,0.351,3.5976374939420695e-187
EEF1G,1.6357448669738125e-190,1.2678388560661453,0.894,0.651,2.95824459192214e-186
ZNRF3,2.2747844744696713e-189,1.0041308942548275,0.845,0.417,4.113947722078401e-185
EEF2,4.899790590124738e-188,1.1077812849386217,0.989,0.874,8.861271282240588e-184
TESC,2.312647508751759e-187,2.0599108328795914,0.487,0.113,4.182423019577556e-183
KLK11,4.935300492636739e-187,1.169797730096966,0.633,0.195,8.925490940933543e-183
IMPDH2,6.02177877688336e-185,1.0651784955415933,0.87,0.54,1.0890386917993558e-180
FXYD5,1.836409989934427e-184,1.1862510408005564,0.819,0.465,3.3211474667964113e-180
ID4,1.3353581109191853e-183,1.0956992881981724,0.718,0.281,2.4149951435973465e-179
GRAMD1A,3.8274741223105e-182,0.9599568005218633,0.87,0.484,6.921986950198538e-178
SORBS2,8.045291383152223e-180,1.089181842883935,0.739,0.287,1.4549909466430797e-175
RETNLB,6.832248326488001e-179,1.0460292294549485,0.923,0.692,1.235612109845355e-174
SBSPON,1.597579098556692e-176,1.599238259182938,0.462,0.095,2.8892217997397776e-172
ART3,8.191063963369182e-176,1.8096829624242128,0.426,0.077,1.4813539177753166e-171
RHOBTB3,8.567552679180075e-175,1.0277744122028831,0.881,0.544,1.5494419020297165e-170
WFDC2,2.3271128842775103e-174,0.7945939834842941,0.875,0.481,4.208583651215877e-170
FOXQ1,2.2571078467030075e-173,1.034787703250369,0.756,0.324,4.081979540762389e-169
LY6G6D,2.4053999477085493e-173,1.7976791979195352,0.465,0.102,4.3501658054309116e-169
GTF2IRD1,2.4243822824250955e-173,0.8751073453394633,0.883,0.485,4.3844953577657856e-169
EPHB4,4.284783969738603e-171,0.6967165018265836,0.959,0.597,7.749031809272263e-167
SOD3,4.38719522764017e-171,1.0924209867357964,0.884,0.564,7.934242569187248e-167
MLXIPL,5.135695995267515e-171,1.3304008605835511,0.607,0.196,9.287906207441302e-167
WNK2,9.041889425569377e-171,0.8094710056829084,0.977,0.746,1.6352257026142217e-166
ALDH1B1,1.7062079694642049e-168,0.7959818450664884,0.982,0.738,3.0856771127760146e-164
SUPT4H1,2.8549710306419134e-168,0.9994510607849831,0.783,0.356,5.1632151089159e-164
ADGRG1,1.2684964434191824e-167,0.7412655394718165,0.945,0.679,2.2940758179235915e-163
PROM1,1.496445887330161e-166,0.8269827550936169,0.886,0.522,2.706322387236596e-162
NEBL,1.231891023686672e-164,1.0078813227914913,0.741,0.326,2.2278749163373465e-160
IL17RB,8.974600029128098e-164,1.107320166549278,0.67,0.247,1.6230564152678165e-159
RCC2,9.563680505273194e-163,1.0135667372545898,0.808,0.43,1.7295916193786572e-158
C19orf48,3.2744376719808065e-162,0.8608566318894326,0.871,0.478,5.921820529777289e-158
L1TD1,8.492671294218763e-160,1.1510597397678641,0.759,0.369,1.5358996035594632e-155
CACNA2D2,3.42741187166734e-159,1.4379828576673033,0.497,0.13,6.198474369910385e-155
PGAP1,3.2651177055654594e-158,1.3411518932219144,0.579,0.203,5.9049653705151336e-154
FGFR4,3.296015325513078e-157,1.028190046431495,0.699,0.277,5.960843716190402e-153
TBX3,4.4678801697620975e-156,0.9516758134330294,0.835,0.499,8.080161287014754e-152
APEX1,3.3528665305935076e-154,0.6204177439369325,0.965,0.752,6.063659120578358e-150
SP5,9.622152416620852e-154,1.1308820772454038,0.557,0.173,1.7401662645458812e-149
