Sample_ID,Adenoma,Cluster_Moran_GDF15_ADT_CD8A,k,n,prop
R2_large_1,Low-grade,High-High,17,166,0.10240963855421686
R2_large_1,Low-grade,High-Low,42,166,0.25301204819277107
R2_large_1,Low-grade,Low-High,35,166,0.21084337349397592
R2_large_1,Low-grade,Low-Low,72,166,0.43373493975903615
R2_large_1,Normal,High-High,4,41,0.0975609756097561
R2_large_1,Normal,High-Low,0,41,0
R2_large_1,Normal,Low-High,37,41,0.9024390243902439
R2_large_1,Normal,Low-Low,0,41,0
R2_large_2,Low-grade,High-High,0,141,0
R2_large_2,Low-grade,High-Low,19,141,0.1347517730496454
R2_large_2,Low-grade,Low-High,3,141,0.02127659574468085
R2_large_2,Low-grade,Low-Low,119,141,0.8439716312056738
R2_large_2,Normal,High-High,8,345,0.02318840579710145
R2_large_2,Normal,High-Low,13,345,0.03768115942028986
R2_large_2,Normal,Low-High,119,345,0.34492753623188405
R2_large_2,Normal,Low-Low,205,345,0.5942028985507246
R2_small_1,Low-grade,High-High,0,11,0
R2_small_1,Low-grade,High-Low,5,11,0.45454545454545453
R2_small_1,Low-grade,Low-High,0,11,0
R2_small_1,Low-grade,Low-Low,6,11,0.5454545454545454
R2_small_1,Normal,High-High,10,75,0.13333333333333333
R2_small_1,Normal,High-Low,25,75,0.3333333333333333
R2_small_1,Normal,Low-High,22,75,0.29333333333333333
R2_small_1,Normal,Low-Low,18,75,0.24
R2_small_2,Low-grade,High-High,0,29,0
R2_small_2,Low-grade,High-Low,6,29,0.20689655172413793
R2_small_2,Low-grade,Low-High,3,29,0.10344827586206896
R2_small_2,Low-grade,Low-Low,20,29,0.6896551724137931
R2_small_2,Normal,High-High,1,66,0.015151515151515152
R2_small_2,Normal,High-Low,3,66,0.045454545454545456
R2_small_2,Normal,Low-High,26,66,0.3939393939393939
R2_small_2,Normal,Low-Low,36,66,0.5454545454545454
R3_large_1,Low-grade,High-High,1,435,0.0022988505747126436
R3_large_1,Low-grade,High-Low,278,435,0.639080459770115
R3_large_1,Low-grade,Low-High,11,435,0.02528735632183908
R3_large_1,Low-grade,Low-Low,145,435,0.3333333333333333
R3_large_1,Normal,High-High,13,381,0.03412073490813648
R3_large_1,Normal,High-Low,29,381,0.07611548556430446
R3_large_1,Normal,Low-High,163,381,0.42782152230971127
R3_large_1,Normal,Low-Low,176,381,0.46194225721784776
R3_large_2,Low-grade,High-High,63,486,0.12962962962962962
R3_large_2,Low-grade,High-Low,117,486,0.24074074074074073
R3_large_2,Low-grade,Low-High,133,486,0.2736625514403292
R3_large_2,Low-grade,Low-Low,173,486,0.3559670781893004
R3_large_2,Normal,High-High,3,11,0.2727272727272727
R3_large_2,Normal,High-Low,0,11,0
R3_large_2,Normal,Low-High,8,11,0.7272727272727273
R3_large_2,Normal,Low-Low,0,11,0
R3_large_3,Low-grade,High-High,1,400,0.0025
R3_large_3,Low-grade,High-Low,188,400,0.47
R3_large_3,Low-grade,Low-High,1,400,0.0025
R3_large_3,Low-grade,Low-Low,210,400,0.525
R3_large_3,Normal,High-High,7,391,0.017902813299232736
R3_large_3,Normal,High-Low,12,391,0.030690537084398978
R3_large_3,Normal,Low-High,197,391,0.5038363171355499
R3_large_3,Normal,Low-Low,175,391,0.4475703324808184
R3_large_4,Low-grade,High-High,18,225,0.08
R3_large_4,Low-grade,High-Low,32,225,0.14222222222222222
R3_large_4,Low-grade,Low-High,33,225,0.14666666666666667
R3_large_4,Low-grade,Low-Low,142,225,0.6311111111111111
R3_large_4,Normal,High-High,3,194,0.015463917525773196
R3_large_4,Normal,High-Low,13,194,0.06701030927835051
R3_large_4,Normal,Low-High,63,194,0.3247422680412371
R3_large_4,Normal,Low-Low,115,194,0.5927835051546392
R3_large_5,Low-grade,High-High,4,151,0.026490066225165563
R3_large_5,Low-grade,High-Low,79,151,0.5231788079470199
R3_large_5,Low-grade,Low-High,21,151,0.1390728476821192
R3_large_5,Low-grade,Low-Low,47,151,0.31125827814569534
R3_large_5,Normal,High-High,6,104,0.057692307692307696
R3_large_5,Normal,High-Low,5,104,0.04807692307692308
R3_large_5,Normal,Low-High,72,104,0.6923076923076923
R3_large_5,Normal,Low-Low,21,104,0.20192307692307693
R3_large_6,Low-grade,High-High,1,125,0.008
R3_large_6,Low-grade,High-Low,119,125,0.952
R3_large_6,Low-grade,Low-High,5,125,0.04
R3_large_6,Low-grade,Low-Low,0,125,0
R3_large_6,Normal,High-High,5,72,0.06944444444444445
R3_large_6,Normal,High-Low,3,72,0.041666666666666664
R3_large_6,Normal,Low-High,64,72,0.8888888888888888
R3_large_6,Normal,Low-Low,0,72,0
R3_large_7,Low-grade,High-High,7,274,0.025547445255474453
R3_large_7,Low-grade,High-Low,137,274,0.5
R3_large_7,Low-grade,Low-High,23,274,0.08394160583941605
R3_large_7,Low-grade,Low-Low,107,274,0.3905109489051095
R3_large_7,Normal,High-High,5,107,0.04672897196261682
R3_large_7,Normal,High-Low,14,107,0.1308411214953271
R3_large_7,Normal,Low-High,51,107,0.4766355140186916
R3_large_7,Normal,Low-Low,37,107,0.34579439252336447
R3_small_1,Low-grade,High-High,8,268,0.029850746268656716
R3_small_1,Low-grade,High-Low,51,268,0.19029850746268656
R3_small_1,Low-grade,Low-High,90,268,0.3358208955223881
R3_small_1,Low-grade,Low-Low,119,268,0.44402985074626866
R3_small_1,Normal,High-High,2,46,0.043478260869565216
R3_small_1,Normal,High-Low,4,46,0.08695652173913043
R3_small_1,Normal,Low-High,31,46,0.6739130434782609
R3_small_1,Normal,Low-Low,9,46,0.1956521739130435
R4_large_1,Low-grade,High-High,0,329,0
R4_large_1,Low-grade,High-Low,198,329,0.601823708206687
R4_large_1,Low-grade,Low-High,0,329,0
R4_large_1,Low-grade,Low-Low,131,329,0.3981762917933131
R4_large_1,Normal,High-High,10,309,0.032362459546925564
R4_large_1,Normal,High-Low,9,309,0.02912621359223301
R4_large_1,Normal,Low-High,197,309,0.6375404530744336
R4_large_1,Normal,Low-Low,93,309,0.30097087378640774
R4_large_2,Low-grade,High-High,48,662,0.07250755287009064
R4_large_2,Low-grade,High-Low,244,662,0.3685800604229607
R4_large_2,Low-grade,Low-High,78,662,0.11782477341389729
R4_large_2,Low-grade,Low-Low,292,662,0.44108761329305135
R4_large_2,Normal,High-High,4,127,0.031496062992125984
R4_large_2,Normal,High-Low,0,127,0
R4_large_2,Normal,Low-High,108,127,0.8503937007874016
R4_large_2,Normal,Low-Low,15,127,0.11811023622047244
R4_large_3,Low-grade,High-High,67,521,0.12859884836852206
R4_large_3,Low-grade,High-Low,194,521,0.3723608445297505
R4_large_3,Low-grade,Low-High,41,521,0.07869481765834933
R4_large_3,Low-grade,Low-Low,219,521,0.42034548944337813
R4_large_3,Normal,High-High,12,117,0.10256410256410256
R4_large_3,Normal,High-Low,3,117,0.02564102564102564
R4_large_3,Normal,Low-High,99,117,0.8461538461538461
R4_large_3,Normal,Low-Low,3,117,0.02564102564102564
R4_large_4,Low-grade,High-High,0,227,0
R4_large_4,Low-grade,High-Low,86,227,0.3788546255506608
R4_large_4,Low-grade,Low-High,0,227,0
R4_large_4,Low-grade,Low-Low,141,227,0.6211453744493393
R4_large_4,Normal,High-High,5,224,0.022321428571428572
R4_large_4,Normal,High-Low,7,224,0.03125
R4_large_4,Normal,Low-High,93,224,0.41517857142857145
R4_large_4,Normal,Low-Low,119,224,0.53125
R4_large_5,Low-grade,High-High,0,129,0
R4_large_5,Low-grade,High-Low,79,129,0.6124031007751938
R4_large_5,Low-grade,Low-High,0,129,0
R4_large_5,Low-grade,Low-Low,50,129,0.3875968992248062
R4_large_5,Normal,High-High,23,136,0.16911764705882354
R4_large_5,Normal,High-Low,2,136,0.014705882352941176
R4_large_5,Normal,Low-High,107,136,0.7867647058823529
R4_large_5,Normal,Low-Low,4,136,0.029411764705882353
R4_small_1,Low-grade,High-High,1,23,0.043478260869565216
R4_small_1,Low-grade,High-Low,1,23,0.043478260869565216
R4_small_1,Low-grade,Low-High,1,23,0.043478260869565216
R4_small_1,Low-grade,Low-Low,20,23,0.8695652173913043
R4_small_1,Normal,High-High,5,70,0.07142857142857142
R4_small_1,Normal,High-Low,4,70,0.05714285714285714
R4_small_1,Normal,Low-High,44,70,0.6285714285714286
R4_small_1,Normal,Low-Low,17,70,0.24285714285714285
R4_small_2,Low-grade,High-High,0,53,0
R4_small_2,Low-grade,High-Low,9,53,0.16981132075471697
R4_small_2,Low-grade,Low-High,7,53,0.1320754716981132
R4_small_2,Low-grade,Low-Low,37,53,0.6981132075471698
R4_small_2,Normal,High-High,3,71,0.04225352112676056
R4_small_2,Normal,High-Low,1,71,0.014084507042253521
R4_small_2,Normal,Low-High,47,71,0.6619718309859155
R4_small_2,Normal,Low-Low,20,71,0.28169014084507044
