Sample_ID,Adenoma,Cluster_Moran_GDF15_CD8_T,k,n,prop
Pilot_large_1,Low-grade,High-High,66,872,0.07568807339449542
Pilot_large_1,Low-grade,High-Low,566,872,0.6490825688073395
Pilot_large_1,Low-grade,Low-High,55,872,0.06307339449541284
Pilot_large_1,Low-grade,Low-Low,185,872,0.2121559633027523
Pilot_large_1,Normal,High-High,2,16,0.125
Pilot_large_1,Normal,High-Low,0,16,0
Pilot_large_1,Normal,Low-High,14,16,0.875
Pilot_large_1,Normal,Low-Low,0,16,0
Pilot_large_2,Low-grade,High-High,160,1235,0.12955465587044535
Pilot_large_2,Low-grade,High-Low,714,1235,0.5781376518218624
Pilot_large_2,Low-grade,Low-High,75,1235,0.06072874493927125
Pilot_large_2,Low-grade,Low-Low,286,1235,0.23157894736842105
Pilot_large_2,Normal,High-High,0,10,0
Pilot_large_2,Normal,High-Low,5,10,0.5
Pilot_large_2,Normal,Low-High,4,10,0.4
Pilot_large_2,Normal,Low-Low,1,10,0.1
Pilot_small_1,Low-grade,High-High,0,189,0
Pilot_small_1,Low-grade,High-Low,140,189,0.7407407407407407
Pilot_small_1,Low-grade,Low-High,0,189,0
Pilot_small_1,Low-grade,Low-Low,49,189,0.25925925925925924
Pilot_small_1,Normal,High-High,6,98,0.061224489795918366
Pilot_small_1,Normal,High-Low,27,98,0.2755102040816326
Pilot_small_1,Normal,Low-High,10,98,0.10204081632653061
Pilot_small_1,Normal,Low-Low,55,98,0.5612244897959183
R2_large_1,Low-grade,High-High,3,10,0.3
R2_large_1,Low-grade,High-Low,0,10,0
R2_large_1,Low-grade,Low-High,6,10,0.6
R2_large_1,Low-grade,Low-Low,1,10,0.1
R2_large_1,Normal,High-High,1,17,0.058823529411764705
R2_large_1,Normal,High-Low,0,17,0
R2_large_1,Normal,Low-High,15,17,0.8823529411764706
R2_large_1,Normal,Low-Low,1,17,0.058823529411764705
R2_large_2,Low-grade,High-High,5,60,0.08333333333333333
R2_large_2,Low-grade,High-Low,3,60,0.05
R2_large_2,Low-grade,Low-High,12,60,0.2
R2_large_2,Low-grade,Low-Low,40,60,0.6666666666666666
R2_large_2,Normal,High-High,6,501,0.011976047904191617
R2_large_2,Normal,High-Low,20,501,0.03992015968063872
R2_large_2,Normal,Low-High,176,501,0.35129740518962077
R2_large_2,Normal,Low-Low,299,501,0.5968063872255489
R2_small_1,Low-grade,High-High,0,11,0
R2_small_1,Low-grade,High-Low,4,11,0.36363636363636365
R2_small_1,Low-grade,Low-High,0,11,0
R2_small_1,Low-grade,Low-Low,7,11,0.6363636363636364
R2_small_1,Normal,High-High,6,56,0.10714285714285714
R2_small_1,Normal,High-Low,20,56,0.35714285714285715
R2_small_1,Normal,Low-High,18,56,0.32142857142857145
R2_small_1,Normal,Low-Low,12,56,0.21428571428571427
R2_small_2,Low-grade,High-High,0,11,0
R2_small_2,Low-grade,High-Low,6,11,0.5454545454545454
R2_small_2,Low-grade,Low-High,0,11,0
R2_small_2,Low-grade,Low-Low,5,11,0.45454545454545453
R2_small_2,Normal,High-High,0,60,0
R2_small_2,Normal,High-Low,3,60,0.05
R2_small_2,Normal,Low-High,1,60,0.016666666666666666
R2_small_2,Normal,Low-Low,56,60,0.9333333333333333
R3_large_1,Low-grade,High-High,27,253,0.1067193675889328
R3_large_1,Low-grade,High-Low,91,253,0.35968379446640314
R3_large_1,Low-grade,Low-High,4,253,0.015810276679841896
R3_large_1,Low-grade,Low-Low,131,253,0.5177865612648221
R3_large_1,Normal,High-High,9,391,0.023017902813299233
R3_large_1,Normal,High-Low,22,391,0.056265984654731455
R3_large_1,Normal,Low-High,82,391,0.20971867007672634
R3_large_1,Normal,Low-Low,278,391,0.710997442455243
R3_large_2,Low-grade,High-High,48,989,0.04853387259858443
R3_large_2,Low-grade,High-Low,474,989,0.4792719919110212
R3_large_2,Low-grade,Low-High,83,989,0.0839231547017189
R3_large_2,Low-grade,Low-Low,384,989,0.38827098078867545
R3_large_2,Normal,High-High,2,10,0.2
R3_large_2,Normal,High-Low,0,10,0
R3_large_2,Normal,Low-High,8,10,0.8
R3_large_2,Normal,Low-Low,0,10,0
R3_large_3,Low-grade,High-High,10,407,0.02457002457002457
R3_large_3,Low-grade,High-Low,128,407,0.3144963144963145
R3_large_3,Low-grade,Low-High,13,407,0.03194103194103194
R3_large_3,Low-grade,Low-Low,256,407,0.628992628992629
R3_large_3,Normal,High-High,6,467,0.01284796573875803
R3_large_3,Normal,High-Low,18,467,0.03854389721627409
R3_large_3,Normal,Low-High,133,467,0.284796573875803
R3_large_3,Normal,Low-Low,310,467,0.6638115631691649
R3_large_4,Low-grade,High-High,0,171,0
R3_large_4,Low-grade,High-Low,40,171,0.23391812865497075
R3_large_4,Low-grade,Low-High,0,171,0
R3_large_4,Low-grade,Low-Low,131,171,0.7660818713450293
R3_large_4,Normal,High-High,1,108,0.009259259259259259
R3_large_4,Normal,High-Low,12,108,0.1111111111111111
R3_large_4,Normal,Low-High,2,108,0.018518518518518517
R3_large_4,Normal,Low-Low,93,108,0.8611111111111112
R3_large_5,Low-grade,High-High,5,164,0.03048780487804878
R3_large_5,Low-grade,High-Low,85,164,0.5182926829268293
R3_large_5,Low-grade,Low-High,11,164,0.06707317073170732
R3_large_5,Low-grade,Low-Low,63,164,0.38414634146341464
R3_large_5,Normal,High-High,1,53,0.018867924528301886
R3_large_5,Normal,High-Low,4,53,0.07547169811320754
R3_large_5,Normal,Low-High,28,53,0.5283018867924528
R3_large_5,Normal,Low-Low,20,53,0.37735849056603776
R3_large_6,Low-grade,High-High,0,161,0
R3_large_6,Low-grade,High-Low,96,161,0.5962732919254659
R3_large_6,Low-grade,Low-High,0,161,0
R3_large_6,Low-grade,Low-Low,65,161,0.40372670807453415
R3_large_6,Normal,High-High,1,20,0.05
R3_large_6,Normal,High-Low,2,20,0.1
R3_large_6,Normal,Low-High,10,20,0.5
R3_large_6,Normal,Low-Low,7,20,0.35
R3_large_7,Low-grade,High-High,10,184,0.05434782608695652
R3_large_7,Low-grade,High-Low,74,184,0.40217391304347827
R3_large_7,Low-grade,Low-High,22,184,0.11956521739130435
R3_large_7,Low-grade,Low-Low,78,184,0.42391304347826086
R3_large_7,Normal,High-High,2,97,0.020618556701030927
R3_large_7,Normal,High-Low,16,97,0.16494845360824742
R3_large_7,Normal,Low-High,12,97,0.12371134020618557
R3_large_7,Normal,Low-Low,67,97,0.6907216494845361
R3_small_1,Low-grade,High-High,2,145,0.013793103448275862
R3_small_1,Low-grade,High-Low,27,145,0.18620689655172415
R3_small_1,Low-grade,Low-High,27,145,0.18620689655172415
R3_small_1,Low-grade,Low-Low,89,145,0.6137931034482759
R3_small_1,Normal,High-High,2,23,0.08695652173913043
R3_small_1,Normal,High-Low,0,23,0
R3_small_1,Normal,Low-High,15,23,0.6521739130434783
R3_small_1,Normal,Low-Low,6,23,0.2608695652173913
R4_large_1,Low-grade,High-High,0,162,0
R4_large_1,Low-grade,High-Low,105,162,0.6481481481481481
R4_large_1,Low-grade,Low-High,1,162,0.006172839506172839
R4_large_1,Low-grade,Low-Low,56,162,0.345679012345679
R4_large_1,Normal,High-High,5,150,0.03333333333333333
R4_large_1,Normal,High-Low,4,150,0.02666666666666667
R4_large_1,Normal,Low-High,15,150,0.1
R4_large_1,Normal,Low-Low,126,150,0.84
R4_large_2,Low-grade,High-High,21,442,0.04751131221719457
R4_large_2,Low-grade,High-Low,174,442,0.3936651583710407
R4_large_2,Low-grade,Low-High,49,442,0.11085972850678733
R4_large_2,Low-grade,Low-Low,198,442,0.4479638009049774
R4_large_2,Normal,High-High,1,19,0.05263157894736842
R4_large_2,Normal,High-Low,0,19,0
R4_large_2,Normal,Low-High,10,19,0.5263157894736842
R4_large_2,Normal,Low-Low,8,19,0.42105263157894735
R4_large_3,Low-grade,High-High,43,534,0.08052434456928839
R4_large_3,Low-grade,High-Low,209,534,0.3913857677902622
R4_large_3,Low-grade,Low-High,50,534,0.09363295880149813
R4_large_3,Low-grade,Low-Low,232,534,0.4344569288389513
R4_large_3,Normal,High-High,8,66,0.12121212121212122
R4_large_3,Normal,High-Low,3,66,0.045454545454545456
R4_large_3,Normal,Low-High,44,66,0.6666666666666666
R4_large_3,Normal,Low-Low,11,66,0.16666666666666666
R4_large_4,Low-grade,High-High,0,181,0
R4_large_4,Low-grade,High-Low,95,181,0.5248618784530387
R4_large_4,Low-grade,Low-High,1,181,0.0055248618784530384
R4_large_4,Low-grade,Low-Low,85,181,0.4696132596685083
R4_large_4,Normal,High-High,2,271,0.007380073800738007
R4_large_4,Normal,High-Low,18,271,0.06642066420664207
R4_large_4,Normal,Low-High,19,271,0.07011070110701106
R4_large_4,Normal,Low-Low,232,271,0.8560885608856088
