Sample_ID,Adenoma,Cluster_Moran_GDF15_Senepy,k,n,prop
Pilot_large_1,Low-grade,High-High,618,1063,0.58137347130762
Pilot_large_1,Low-grade,High-Low,130,1063,0.12229539040451552
Pilot_large_1,Low-grade,Low-High,202,1063,0.19002822201317027
Pilot_large_1,Low-grade,Low-Low,113,1063,0.10630291627469426
Pilot_large_1,Normal,High-High,0,377,0
Pilot_large_1,Normal,High-Low,66,377,0.17506631299734748
Pilot_large_1,Normal,Low-High,0,377,0
Pilot_large_1,Normal,Low-Low,311,377,0.8249336870026526
Pilot_large_2,Low-grade,High-High,887,1452,0.6108815426997245
Pilot_large_2,Low-grade,High-Low,97,1452,0.06680440771349862
Pilot_large_2,Low-grade,Low-High,323,1452,0.22245179063360881
Pilot_large_2,Low-grade,Low-Low,145,1452,0.09986225895316804
Pilot_large_2,Normal,High-High,0,321,0
Pilot_large_2,Normal,High-Low,74,321,0.23052959501557632
Pilot_large_2,Normal,Low-High,0,321,0
Pilot_large_2,Normal,Low-Low,247,321,0.7694704049844237
Pilot_small_1,Low-grade,High-High,172,234,0.7350427350427351
Pilot_small_1,Low-grade,High-Low,3,234,0.01282051282051282
Pilot_small_1,Low-grade,Low-High,58,234,0.24786324786324787
Pilot_small_1,Low-grade,Low-Low,1,234,0.004273504273504274
Pilot_small_1,Normal,High-High,30,200,0.15
Pilot_small_1,Normal,High-Low,25,200,0.125
Pilot_small_1,Normal,Low-High,46,200,0.23
Pilot_small_1,Normal,Low-Low,99,200,0.495
R2_large_1,Low-grade,High-High,123,252,0.4880952380952381
R2_large_1,Low-grade,High-Low,1,252,0.003968253968253968
R2_large_1,Low-grade,Low-High,108,252,0.42857142857142855
R2_large_1,Low-grade,Low-Low,20,252,0.07936507936507936
R2_large_1,Normal,High-High,6,54,0.1111111111111111
R2_large_1,Normal,High-Low,0,54,0
R2_large_1,Normal,Low-High,39,54,0.7222222222222222
R2_large_1,Normal,Low-Low,9,54,0.16666666666666666
R2_large_2,Low-grade,High-High,27,174,0.15517241379310345
R2_large_2,Low-grade,High-Low,3,174,0.017241379310344827
R2_large_2,Low-grade,Low-High,72,174,0.41379310344827586
R2_large_2,Low-grade,Low-Low,72,174,0.41379310344827586
R2_large_2,Normal,High-High,12,416,0.028846153846153848
R2_large_2,Normal,High-Low,6,416,0.014423076923076924
R2_large_2,Normal,Low-High,231,416,0.5552884615384616
R2_large_2,Normal,Low-Low,167,416,0.4014423076923077
R2_small_1,Low-grade,High-High,8,23,0.34782608695652173
R2_small_1,Low-grade,High-Low,0,23,0
R2_small_1,Low-grade,Low-High,15,23,0.6521739130434783
R2_small_1,Low-grade,Low-Low,0,23,0
R2_small_1,Normal,High-High,13,97,0.13402061855670103
R2_small_1,Normal,High-Low,17,97,0.17525773195876287
R2_small_1,Normal,Low-High,35,97,0.36082474226804123
R2_small_1,Normal,Low-Low,32,97,0.32989690721649484
R2_small_2,Low-grade,High-High,9,22,0.4090909090909091
R2_small_2,Low-grade,High-Low,0,22,0
R2_small_2,Low-grade,Low-High,12,22,0.5454545454545454
R2_small_2,Low-grade,Low-Low,1,22,0.045454545454545456
R2_small_2,Normal,High-High,12,127,0.09448818897637795
R2_small_2,Normal,High-Low,1,127,0.007874015748031496
R2_small_2,Normal,Low-High,93,127,0.7322834645669292
R2_small_2,Normal,Low-Low,21,127,0.16535433070866143
R3_large_1,Low-grade,High-High,333,517,0.6441005802707931
R3_large_1,Low-grade,High-Low,1,517,0.0019342359767891683
R3_large_1,Low-grade,Low-High,158,517,0.3056092843326886
R3_large_1,Low-grade,Low-Low,25,517,0.048355899419729204
R3_large_1,Normal,High-High,21,637,0.03296703296703297
R3_large_1,Normal,High-Low,30,637,0.04709576138147567
R3_large_1,Normal,Low-High,86,637,0.13500784929356358
R3_large_1,Normal,Low-Low,500,637,0.7849293563579278
R3_large_2,Low-grade,High-High,479,1425,0.33614035087719296
R3_large_2,Low-grade,High-Low,130,1425,0.0912280701754386
R3_large_2,Low-grade,Low-High,349,1425,0.2449122807017544
R3_large_2,Low-grade,Low-Low,467,1425,0.327719298245614
R3_large_2,Normal,High-High,0,39,0
R3_large_2,Normal,High-Low,5,39,0.1282051282051282
R3_large_2,Normal,Low-High,0,39,0
R3_large_2,Normal,Low-Low,34,39,0.8717948717948718
R3_large_3,Low-grade,High-High,260,442,0.5882352941176471
R3_large_3,Low-grade,High-Low,1,442,0.0022624434389140274
R3_large_3,Low-grade,Low-High,156,442,0.35294117647058826
R3_large_3,Low-grade,Low-Low,25,442,0.05656108597285068
R3_large_3,Normal,High-High,11,547,0.02010968921389397
R3_large_3,Normal,High-Low,14,547,0.025594149908592323
R3_large_3,Normal,Low-High,113,547,0.20658135283363802
R3_large_3,Normal,Low-Low,409,547,0.7477148080438757
R3_large_4,Low-grade,High-High,152,445,0.3415730337078652
R3_large_4,Low-grade,High-Low,6,445,0.01348314606741573
R3_large_4,Low-grade,Low-High,254,445,0.5707865168539326
R3_large_4,Low-grade,Low-Low,33,445,0.07415730337078652
R3_large_4,Normal,High-High,12,316,0.0379746835443038
