Sample_ID,Adenoma,Cluster_Moran_GDF15_Stem_Signature,k,n,prop
Pilot_large_1,Low-grade,High-High,617,1026,0.601364522417154
Pilot_large_1,Low-grade,High-Low,96,1026,0.0935672514619883
Pilot_large_1,Low-grade,Low-High,209,1026,0.2037037037037037
Pilot_large_1,Low-grade,Low-Low,104,1026,0.10136452241715399
Pilot_large_1,Normal,High-High,0,377,0
Pilot_large_1,Normal,High-Low,68,377,0.18037135278514588
Pilot_large_1,Normal,Low-High,0,377,0
Pilot_large_1,Normal,Low-Low,309,377,0.8196286472148541
Pilot_large_2,Low-grade,High-High,856,1387,0.6171593366979091
Pilot_large_2,Low-grade,High-Low,67,1387,0.04830569574621485
Pilot_large_2,Low-grade,Low-High,335,1387,0.24152847873107425
Pilot_large_2,Low-grade,Low-Low,129,1387,0.09300648882480173
Pilot_large_2,Normal,High-High,0,328,0
Pilot_large_2,Normal,High-Low,72,328,0.21951219512195122
Pilot_large_2,Normal,Low-High,0,328,0
Pilot_large_2,Normal,Low-Low,256,328,0.7804878048780488
Pilot_small_1,Low-grade,High-High,186,256,0.7265625
Pilot_small_1,Low-grade,High-Low,1,256,0.00390625
Pilot_small_1,Low-grade,Low-High,68,256,0.265625
Pilot_small_1,Low-grade,Low-Low,1,256,0.00390625
Pilot_small_1,Normal,High-High,18,249,0.07228915662650602
Pilot_small_1,Normal,High-Low,47,249,0.18875502008032127
Pilot_small_1,Normal,Low-High,16,249,0.0642570281124498
Pilot_small_1,Normal,Low-Low,168,249,0.6746987951807228
R2_large_1,Low-grade,High-High,139,288,0.4826388888888889
R2_large_1,Low-grade,High-Low,0,288,0
R2_large_1,Low-grade,Low-High,146,288,0.5069444444444444
R2_large_1,Low-grade,Low-Low,3,288,0.010416666666666666
R2_large_1,Normal,High-High,2,8,0.25
R2_large_1,Normal,High-Low,0,8,0
R2_large_1,Normal,Low-High,6,8,0.75
R2_large_1,Normal,Low-Low,0,8,0
R2_large_2,Low-grade,High-High,31,151,0.2052980132450331
R2_large_2,Low-grade,High-Low,1,151,0.006622516556291391
R2_large_2,Low-grade,Low-High,111,151,0.7350993377483444
R2_large_2,Low-grade,Low-Low,8,151,0.052980132450331126
R2_large_2,Normal,High-High,17,206,0.0825242718446602
R2_large_2,Normal,High-Low,3,206,0.014563106796116505
R2_large_2,Normal,Low-High,100,206,0.4854368932038835
R2_large_2,Normal,Low-Low,86,206,0.4174757281553398
R2_small_1,Low-grade,High-High,10,22,0.45454545454545453
R2_small_1,Low-grade,High-Low,0,22,0
R2_small_1,Low-grade,Low-High,12,22,0.5454545454545454
R2_small_1,Low-grade,Low-Low,0,22,0
R2_small_1,Normal,High-High,26,105,0.24761904761904763
