Sample_ID,Adenoma,Cluster_Moran_Senepy_Stem_Signature,k,n,prop
Pilot_large_1,Low-grade,High-High,636,1026,0.6198830409356725
Pilot_large_1,Low-grade,High-Low,23,1026,0.022417153996101363
Pilot_large_1,Low-grade,Low-High,190,1026,0.18518518518518517
Pilot_large_1,Low-grade,Low-Low,177,1026,0.17251461988304093
Pilot_large_1,Normal,High-High,0,377,0
Pilot_large_1,Normal,High-Low,18,377,0.04774535809018567
Pilot_large_1,Normal,Low-High,0,377,0
Pilot_large_1,Normal,Low-Low,359,377,0.9522546419098143
Pilot_large_2,Low-grade,High-High,776,1387,0.5594808940158615
Pilot_large_2,Low-grade,High-Low,22,1387,0.015861571737563085
Pilot_large_2,Low-grade,Low-High,415,1387,0.29920692141312183
Pilot_large_2,Low-grade,Low-Low,174,1387,0.1254506128334535
Pilot_large_2,Normal,High-High,0,328,0
Pilot_large_2,Normal,High-Low,22,328,0.06707317073170732
Pilot_large_2,Normal,Low-High,0,328,0
Pilot_large_2,Normal,Low-Low,306,328,0.9329268292682927
Pilot_small_1,Low-grade,High-High,200,256,0.78125
Pilot_small_1,Low-grade,High-Low,1,256,0.00390625
Pilot_small_1,Low-grade,Low-High,54,256,0.2109375
Pilot_small_1,Low-grade,Low-Low,1,256,0.00390625
Pilot_small_1,Normal,High-High,24,249,0.0963855421686747
Pilot_small_1,Normal,High-Low,102,249,0.40963855421686746
Pilot_small_1,Normal,Low-High,10,249,0.040160642570281124
Pilot_small_1,Normal,Low-Low,113,249,0.4538152610441767
R2_large_1,Low-grade,High-High,244,288,0.8472222222222222
R2_large_1,Low-grade,High-Low,0,288,0
R2_large_1,Low-grade,Low-High,41,288,0.1423611111111111
R2_large_1,Low-grade,Low-Low,3,288,0.010416666666666666
R2_large_1,Normal,High-High,8,8,1
R2_large_1,Normal,High-Low,0,8,0
R2_large_1,Normal,Low-High,0,8,0
R2_large_1,Normal,Low-Low,0,8,0
R2_large_2,Low-grade,High-High,114,151,0.7549668874172185
R2_large_2,Low-grade,High-Low,0,151,0
R2_large_2,Low-grade,Low-High,28,151,0.18543046357615894
R2_large_2,Low-grade,Low-Low,9,151,0.059602649006622516
R2_large_2,Normal,High-High,69,206,0.33495145631067963
R2_large_2,Normal,High-Low,28,206,0.13592233009708737
R2_large_2,Normal,Low-High,48,206,0.23300970873786409
R2_large_2,Normal,Low-Low,61,206,0.2961165048543689
R2_small_1,Low-grade,High-High,11,22,0.5
R2_small_1,Low-grade,High-Low,0,22,0
R2_small_1,Low-grade,Low-High,11,22,0.5
R2_small_1,Low-grade,Low-Low,0,22,0
R2_small_1,Normal,High-High,13,105,0.12380952380952381
R2_small_1,Normal,High-Low,45,105,0.42857142857142855
R2_small_1,Normal,Low-High,25,105,0.23809523809523808
R2_small_1,Normal,Low-Low,22,105,0.20952380952380953
R2_small_2,Low-grade,High-High,35,60,0.5833333333333334
R2_small_2,Low-grade,High-Low,7,60,0.11666666666666667
R2_small_2,Low-grade,Low-High,17,60,0.2833333333333333
R2_small_2,Low-grade,Low-Low,1,60,0.016666666666666666
R2_small_2,Normal,High-High,6,108,0.05555555555555555
R2_small_2,Normal,High-Low,69,108,0.6388888888888888
R2_small_2,Normal,Low-High,14,108,0.12962962962962962
R2_small_2,Normal,Low-Low,19,108,0.17592592592592593
R3_large_1,Low-grade,High-High,493,593,0.8313659359190556
R3_large_1,Low-grade,High-Low,0,593,0
R3_large_1,Low-grade,Low-High,100,593,0.16863406408094436
R3_large_1,Low-grade,Low-Low,0,593,0
R3_large_1,Normal,High-High,36,497,0.07243460764587525
R3_large_1,Normal,High-Low,242,497,0.4869215291750503
R3_large_1,Normal,Low-High,8,497,0.01609657947686117
R3_large_1,Normal,Low-Low,211,497,0.4245472837022133
R3_large_2,Low-grade,High-High,744,1335,0.5573033707865168
R3_large_2,Low-grade,High-Low,88,1335,0.06591760299625468
R3_large_2,Low-grade,Low-High,203,1335,0.15205992509363295
R3_large_2,Low-grade,Low-Low,300,1335,0.2247191011235955
R3_large_2,Normal,High-High,0,52,0
R3_large_2,Normal,High-Low,11,52,0.21153846153846154
R3_large_2,Normal,Low-High,0,52,0
R3_large_2,Normal,Low-Low,41,52,0.7884615384615384
R3_large_3,Low-grade,High-High,455,510,0.8921568627450981
R3_large_3,Low-grade,High-Low,1,510,0.00196078431372549
R3_large_3,Low-grade,Low-High,54,510,0.10588235294117647
R3_large_3,Low-grade,Low-Low,0,510,0
R3_large_3,Normal,High-High,11,354,0.031073446327683617
R3_large_3,Normal,High-Low,212,354,0.5988700564971752
R3_large_3,Normal,Low-High,7,354,0.01977401129943503
R3_large_3,Normal,Low-Low,124,354,0.3502824858757062
R3_large_4,Low-grade,High-High,387,474,0.8164556962025317
R3_large_4,Low-grade,High-Low,3,474,0.006329113924050633
R3_large_4,Low-grade,Low-High,79,474,0.16666666666666666
R3_large_4,Low-grade,Low-Low,5,474,0.010548523206751054
R3_large_4,Normal,High-High,21,226,0.09292035398230089
R3_large_4,Normal,High-Low,98,226,0.4336283185840708
R3_large_4,Normal,Low-High,2,226,0.008849557522123894
R3_large_4,Normal,Low-Low,105,226,0.4646017699115044
R3_large_5,Low-grade,High-High,166,217,0.7649769585253456
R3_large_5,Low-grade,High-Low,7,217,0.03225806451612903
R3_large_5,Low-grade,Low-High,43,217,0.19815668202764977
R3_large_5,Low-grade,Low-Low,1,217,0.004608294930875576
R3_large_5,Normal,High-High,1,188,0.005319148936170213
R3_large_5,Normal,High-Low,76,188,0.40425531914893614
R3_large_5,Normal,Low-High,0,188,0
R3_large_5,Normal,Low-Low,111,188,0.5904255319148937
