Sample_ID,LargeSmall,Cluster_Moran_GDF15_ADT_CD8A,k,n,prop
R2_large_1,Large,High-High,17,166,0.10240963855421686
R2_large_1,Large,High-Low,42,166,0.25301204819277107
R2_large_1,Large,Low-High,35,166,0.21084337349397592
R2_large_1,Large,Low-Low,72,166,0.43373493975903615
R2_large_2,Large,High-High,0,141,0
R2_large_2,Large,High-Low,19,141,0.1347517730496454
R2_large_2,Large,Low-High,3,141,0.02127659574468085
R2_large_2,Large,Low-Low,119,141,0.8439716312056738
R2_small_1,Small,High-High,0,11,0
R2_small_1,Small,High-Low,5,11,0.45454545454545453
R2_small_1,Small,Low-High,0,11,0
R2_small_1,Small,Low-Low,6,11,0.5454545454545454
R2_small_2,Small,High-High,0,29,0
R2_small_2,Small,High-Low,6,29,0.20689655172413793
R2_small_2,Small,Low-High,3,29,0.10344827586206896
R2_small_2,Small,Low-Low,20,29,0.6896551724137931
R3_large_1,Large,High-High,1,435,0.0022988505747126436
R3_large_1,Large,High-Low,278,435,0.639080459770115
R3_large_1,Large,Low-High,11,435,0.02528735632183908
R3_large_1,Large,Low-Low,145,435,0.3333333333333333
R3_large_2,Large,High-High,63,486,0.12962962962962962
R3_large_2,Large,High-Low,117,486,0.24074074074074073
R3_large_2,Large,Low-High,133,486,0.2736625514403292
R3_large_2,Large,Low-Low,173,486,0.3559670781893004
R3_large_3,Large,High-High,1,400,0.0025
R3_large_3,Large,High-Low,188,400,0.47
R3_large_3,Large,Low-High,1,400,0.0025
R3_large_3,Large,Low-Low,210,400,0.525
R3_large_4,Large,High-High,18,225,0.08
R3_large_4,Large,High-Low,32,225,0.14222222222222222
R3_large_4,Large,Low-High,33,225,0.14666666666666667
R3_large_4,Large,Low-Low,142,225,0.6311111111111111
R3_large_5,Large,High-High,4,151,0.026490066225165563
R3_large_5,Large,High-Low,79,151,0.5231788079470199
R3_large_5,Large,Low-High,21,151,0.1390728476821192
R3_large_5,Large,Low-Low,47,151,0.31125827814569534
R3_large_6,Large,High-High,1,125,0.008
R3_large_6,Large,High-Low,119,125,0.952
R3_large_6,Large,Low-High,5,125,0.04
R3_large_6,Large,Low-Low,0,125,0
R3_large_7,Large,High-High,7,274,0.025547445255474453
R3_large_7,Large,High-Low,137,274,0.5
R3_large_7,Large,Low-High,23,274,0.08394160583941605
R3_large_7,Large,Low-Low,107,274,0.3905109489051095
R3_small_1,Small,High-High,8,268,0.029850746268656716
R3_small_1,Small,High-Low,51,268,0.19029850746268656
R3_small_1,Small,Low-High,90,268,0.3358208955223881
R3_small_1,Small,Low-Low,119,268,0.44402985074626866
R4_large_1,Large,High-High,0,329,0
R4_large_1,Large,High-Low,198,329,0.601823708206687
R4_large_1,Large,Low-High,0,329,0
R4_large_1,Large,Low-Low,131,329,0.3981762917933131
R4_large_2,Large,High-High,48,662,0.07250755287009064
R4_large_2,Large,High-Low,244,662,0.3685800604229607
R4_large_2,Large,Low-High,78,662,0.11782477341389729
R4_large_2,Large,Low-Low,292,662,0.44108761329305135
R4_large_3,Large,High-High,67,521,0.12859884836852206
R4_large_3,Large,High-Low,194,521,0.3723608445297505
R4_large_3,Large,Low-High,41,521,0.07869481765834933
R4_large_3,Large,Low-Low,219,521,0.42034548944337813
R4_large_4,Large,High-High,0,227,0
R4_large_4,Large,High-Low,86,227,0.3788546255506608
R4_large_4,Large,Low-High,0,227,0
R4_large_4,Large,Low-Low,141,227,0.6211453744493393
R4_large_5,Large,High-High,0,129,0
R4_large_5,Large,High-Low,79,129,0.6124031007751938
R4_large_5,Large,Low-High,0,129,0
R4_large_5,Large,Low-Low,50,129,0.3875968992248062
R4_small_1,Small,High-High,1,23,0.043478260869565216
R4_small_1,Small,High-Low,1,23,0.043478260869565216
R4_small_1,Small,Low-High,1,23,0.043478260869565216
R4_small_1,Small,Low-Low,20,23,0.8695652173913043
R4_small_2,Small,High-High,0,53,0
R4_small_2,Small,High-Low,9,53,0.16981132075471697
R4_small_2,Small,Low-High,7,53,0.1320754716981132
R4_small_2,Small,Low-Low,37,53,0.6981132075471698
