Sample_ID,LargeSmall,Cluster_Moran_GDF15_CD8_T,k,n,prop
Pilot_large_1,Large,High-High,66,872,0.07568807339449542
Pilot_large_1,Large,High-Low,566,872,0.6490825688073395
Pilot_large_1,Large,Low-High,55,872,0.06307339449541284
Pilot_large_1,Large,Low-Low,185,872,0.2121559633027523
Pilot_large_2,Large,High-High,160,1235,0.12955465587044535
Pilot_large_2,Large,High-Low,714,1235,0.5781376518218624
Pilot_large_2,Large,Low-High,75,1235,0.06072874493927125
Pilot_large_2,Large,Low-Low,286,1235,0.23157894736842105
Pilot_small_1,Small,High-High,0,189,0
Pilot_small_1,Small,High-Low,140,189,0.7407407407407407
Pilot_small_1,Small,Low-High,0,189,0
Pilot_small_1,Small,Low-Low,49,189,0.25925925925925924
R2_large_2,Large,High-High,5,60,0.08333333333333333
R2_large_2,Large,High-Low,3,60,0.05
R2_large_2,Large,Low-High,12,60,0.2
R2_large_2,Large,Low-Low,40,60,0.6666666666666666
R2_small_1,Small,High-High,0,11,0
R2_small_1,Small,High-Low,4,11,0.36363636363636365
R2_small_1,Small,Low-High,0,11,0
R2_small_1,Small,Low-Low,7,11,0.6363636363636364
R2_small_2,Small,High-High,0,11,0
R2_small_2,Small,High-Low,6,11,0.5454545454545454
R2_small_2,Small,Low-High,0,11,0
R2_small_2,Small,Low-Low,5,11,0.45454545454545453
R3_large_1,Large,High-High,27,253,0.1067193675889328
R3_large_1,Large,High-Low,91,253,0.35968379446640314
R3_large_1,Large,Low-High,4,253,0.015810276679841896
R3_large_1,Large,Low-Low,131,253,0.5177865612648221
R3_large_2,Large,High-High,48,989,0.04853387259858443
R3_large_2,Large,High-Low,474,989,0.4792719919110212
R3_large_2,Large,Low-High,83,989,0.0839231547017189
R3_large_2,Large,Low-Low,384,989,0.38827098078867545
R3_large_3,Large,High-High,10,407,0.02457002457002457
R3_large_3,Large,High-Low,128,407,0.3144963144963145
R3_large_3,Large,Low-High,13,407,0.03194103194103194
R3_large_3,Large,Low-Low,256,407,0.628992628992629
R3_large_4,Large,High-High,0,171,0
R3_large_4,Large,High-Low,40,171,0.23391812865497075
R3_large_4,Large,Low-High,0,171,0
R3_large_4,Large,Low-Low,131,171,0.7660818713450293
R3_large_5,Large,High-High,5,164,0.03048780487804878
R3_large_5,Large,High-Low,85,164,0.5182926829268293
R3_large_5,Large,Low-High,11,164,0.06707317073170732
R3_large_5,Large,Low-Low,63,164,0.38414634146341464
R3_large_6,Large,High-High,0,161,0
R3_large_6,Large,High-Low,96,161,0.5962732919254659
R3_large_6,Large,Low-High,0,161,0
R3_large_6,Large,Low-Low,65,161,0.40372670807453415
R3_large_7,Large,High-High,10,184,0.05434782608695652
R3_large_7,Large,High-Low,74,184,0.40217391304347827
R3_large_7,Large,Low-High,22,184,0.11956521739130435
R3_large_7,Large,Low-Low,78,184,0.42391304347826086
R3_small_1,Small,High-High,2,145,0.013793103448275862
R3_small_1,Small,High-Low,27,145,0.18620689655172415
R3_small_1,Small,Low-High,27,145,0.18620689655172415
R3_small_1,Small,Low-Low,89,145,0.6137931034482759
R4_large_1,Large,High-High,0,162,0
R4_large_1,Large,High-Low,105,162,0.6481481481481481
R4_large_1,Large,Low-High,1,162,0.006172839506172839
R4_large_1,Large,Low-Low,56,162,0.345679012345679
R4_large_2,Large,High-High,21,442,0.04751131221719457
R4_large_2,Large,High-Low,174,442,0.3936651583710407
R4_large_2,Large,Low-High,49,442,0.11085972850678733
R4_large_2,Large,Low-Low,198,442,0.4479638009049774
R4_large_3,Large,High-High,43,534,0.08052434456928839
R4_large_3,Large,High-Low,209,534,0.3913857677902622
R4_large_3,Large,Low-High,50,534,0.09363295880149813
R4_large_3,Large,Low-Low,232,534,0.4344569288389513
R4_large_4,Large,High-High,0,181,0
R4_large_4,Large,High-Low,95,181,0.5248618784530387
R4_large_4,Large,Low-High,1,181,0.0055248618784530384
R4_large_4,Large,Low-Low,85,181,0.4696132596685083
R4_large_5,Large,High-High,7,31,0.22580645161290322
R4_large_5,Large,High-Low,14,31,0.45161290322580644
R4_large_5,Large,Low-High,3,31,0.0967741935483871
R4_large_5,Large,Low-Low,7,31,0.22580645161290322
R4_small_2,Small,High-High,0,65,0
R4_small_2,Small,High-Low,13,65,0.2
R4_small_2,Small,Low-High,0,65,0
R4_small_2,Small,Low-Low,52,65,0.8
