Sample_ID,LargeSmall,Cluster_Moran_GDF15_Senepy,k,n,prop
Pilot_large_1,Large,High-High,618,1063,0.58137347130762
Pilot_large_1,Large,High-Low,130,1063,0.12229539040451552
Pilot_large_1,Large,Low-High,202,1063,0.19002822201317027
Pilot_large_1,Large,Low-Low,113,1063,0.10630291627469426
Pilot_large_2,Large,High-High,887,1452,0.6108815426997245
Pilot_large_2,Large,High-Low,97,1452,0.06680440771349862
Pilot_large_2,Large,Low-High,323,1452,0.22245179063360881
Pilot_large_2,Large,Low-Low,145,1452,0.09986225895316804
Pilot_small_1,Small,High-High,172,234,0.7350427350427351
Pilot_small_1,Small,High-Low,3,234,0.01282051282051282
Pilot_small_1,Small,Low-High,58,234,0.24786324786324787
Pilot_small_1,Small,Low-Low,1,234,0.004273504273504274
R2_large_1,Large,High-High,123,252,0.4880952380952381
R2_large_1,Large,High-Low,1,252,0.003968253968253968
R2_large_1,Large,Low-High,108,252,0.42857142857142855
R2_large_1,Large,Low-Low,20,252,0.07936507936507936
R2_large_2,Large,High-High,27,174,0.15517241379310345
R2_large_2,Large,High-Low,3,174,0.017241379310344827
R2_large_2,Large,Low-High,72,174,0.41379310344827586
R2_large_2,Large,Low-Low,72,174,0.41379310344827586
R2_small_1,Small,High-High,8,23,0.34782608695652173
R2_small_1,Small,High-Low,0,23,0
R2_small_1,Small,Low-High,15,23,0.6521739130434783
R2_small_1,Small,Low-Low,0,23,0
R2_small_2,Small,High-High,9,22,0.4090909090909091
R2_small_2,Small,High-Low,0,22,0
R2_small_2,Small,Low-High,12,22,0.5454545454545454
R2_small_2,Small,Low-Low,1,22,0.045454545454545456
R3_large_1,Large,High-High,333,517,0.6441005802707931
R3_large_1,Large,High-Low,1,517,0.0019342359767891683
R3_large_1,Large,Low-High,158,517,0.3056092843326886
R3_large_1,Large,Low-Low,25,517,0.048355899419729204
R3_large_2,Large,High-High,479,1425,0.33614035087719296
R3_large_2,Large,High-Low,130,1425,0.0912280701754386
R3_large_2,Large,Low-High,349,1425,0.2449122807017544
R3_large_2,Large,Low-Low,467,1425,0.327719298245614
R3_large_3,Large,High-High,260,442,0.5882352941176471
R3_large_3,Large,High-Low,1,442,0.0022624434389140274
R3_large_3,Large,Low-High,156,442,0.35294117647058826
R3_large_3,Large,Low-Low,25,442,0.05656108597285068
R3_large_4,Large,High-High,152,445,0.3415730337078652
R3_large_4,Large,High-Low,6,445,0.01348314606741573
R3_large_4,Large,Low-High,254,445,0.5707865168539326
R3_large_4,Large,Low-Low,33,445,0.07415730337078652
R3_large_5,Large,High-High,96,169,0.5680473372781065
R3_large_5,Large,High-Low,2,169,0.011834319526627219
R3_large_5,Large,Low-High,53,169,0.3136094674556213
R3_large_5,Large,Low-Low,18,169,0.10650887573964497
R3_large_6,Large,High-High,125,254,0.4921259842519685
R3_large_6,Large,High-Low,8,254,0.031496062992125984
R3_large_6,Large,Low-High,96,254,0.3779527559055118
R3_large_6,Large,Low-Low,25,254,0.0984251968503937
R3_large_7,Large,High-High,142,364,0.3901098901098901
R3_large_7,Large,High-Low,23,364,0.06318681318681318
R3_large_7,Large,Low-High,121,364,0.3324175824175824
R3_large_7,Large,Low-Low,78,364,0.21428571428571427
R3_small_1,Small,High-High,77,331,0.2326283987915408
R3_small_1,Small,High-Low,7,331,0.021148036253776436
R3_small_1,Small,Low-High,92,331,0.27794561933534745
R3_small_1,Small,Low-Low,155,331,0.46827794561933533
R4_large_1,Large,High-High,135,202,0.6683168316831684
R4_large_1,Large,High-Low,2,202,0.009900990099009901
R4_large_1,Large,Low-High,27,202,0.13366336633663367
R4_large_1,Large,Low-Low,38,202,0.18811881188118812
R4_large_2,Large,High-High,334,770,0.43376623376623374
R4_large_2,Large,High-Low,25,770,0.032467532467532464
R4_large_2,Large,Low-High,245,770,0.3181818181818182
R4_large_2,Large,Low-Low,166,770,0.21558441558441557
R4_large_3,Large,High-High,259,864,0.29976851851851855
R4_large_3,Large,High-Low,138,864,0.1597222222222222
R4_large_3,Large,Low-High,256,864,0.2962962962962963
R4_large_3,Large,Low-Low,211,864,0.24421296296296297
R4_large_4,Large,High-High,137,272,0.5036764705882353
R4_large_4,Large,High-Low,6,272,0.022058823529411766
R4_large_4,Large,Low-High,62,272,0.22794117647058823
R4_large_4,Large,Low-Low,67,272,0.24632352941176472
R4_large_5,Large,High-High,17,73,0.2328767123287671
R4_large_5,Large,High-Low,22,73,0.3013698630136986
R4_large_5,Large,Low-High,2,73,0.0273972602739726
R4_large_5,Large,Low-Low,32,73,0.4383561643835616
R4_small_1,Small,High-High,1,15,0.06666666666666667
R4_small_1,Small,High-Low,0,15,0
R4_small_1,Small,Low-High,14,15,0.9333333333333333
R4_small_1,Small,Low-Low,0,15,0
R4_small_2,Small,High-High,8,49,0.16326530612244897
R4_small_2,Small,High-Low,1,49,0.02040816326530612
R4_small_2,Small,Low-High,28,49,0.5714285714285714
R4_small_2,Small,Low-Low,12,49,0.24489795918367346
