Sample_ID,LargeSmall,Cluster_Moran_GDF15_Stem_Signature,k,n,prop
Pilot_large_1,Large,High-High,617,1026,0.601364522417154
Pilot_large_1,Large,High-Low,96,1026,0.0935672514619883
Pilot_large_1,Large,Low-High,209,1026,0.2037037037037037
Pilot_large_1,Large,Low-Low,104,1026,0.10136452241715399
Pilot_large_2,Large,High-High,856,1387,0.6171593366979091
Pilot_large_2,Large,High-Low,67,1387,0.04830569574621485
Pilot_large_2,Large,Low-High,335,1387,0.24152847873107425
Pilot_large_2,Large,Low-Low,129,1387,0.09300648882480173
Pilot_small_1,Small,High-High,186,256,0.7265625
Pilot_small_1,Small,High-Low,1,256,0.00390625
Pilot_small_1,Small,Low-High,68,256,0.265625
Pilot_small_1,Small,Low-Low,1,256,0.00390625
R2_large_1,Large,High-High,139,288,0.4826388888888889
R2_large_1,Large,High-Low,0,288,0
R2_large_1,Large,Low-High,146,288,0.5069444444444444
R2_large_1,Large,Low-Low,3,288,0.010416666666666666
R2_large_2,Large,High-High,31,151,0.2052980132450331
R2_large_2,Large,High-Low,1,151,0.006622516556291391
R2_large_2,Large,Low-High,111,151,0.7350993377483444
R2_large_2,Large,Low-Low,8,151,0.052980132450331126
R2_small_1,Small,High-High,10,22,0.45454545454545453
R2_small_1,Small,High-Low,0,22,0
R2_small_1,Small,Low-High,12,22,0.5454545454545454
R2_small_1,Small,Low-Low,0,22,0
R2_small_2,Small,High-High,22,60,0.36666666666666664
R2_small_2,Small,High-Low,1,60,0.016666666666666666
R2_small_2,Small,Low-High,30,60,0.5
R2_small_2,Small,Low-Low,7,60,0.11666666666666667
R3_large_1,Large,High-High,375,593,0.6323777403035413
R3_large_1,Large,High-Low,0,593,0
R3_large_1,Large,Low-High,218,593,0.3676222596964587
R3_large_1,Large,Low-Low,0,593,0
R3_large_2,Large,High-High,532,1335,0.398501872659176
R3_large_2,Large,High-Low,69,1335,0.051685393258426963
R3_large_2,Large,Low-High,415,1335,0.31086142322097376
R3_large_2,Large,Low-Low,319,1335,0.2389513108614232
R3_large_3,Large,High-High,278,510,0.5450980392156862
R3_large_3,Large,High-Low,0,510,0
R3_large_3,Large,Low-High,231,510,0.45294117647058824
R3_large_3,Large,Low-Low,1,510,0.00196078431372549
R3_large_4,Large,High-High,163,474,0.3438818565400844
R3_large_4,Large,High-Low,1,474,0.002109704641350211
R3_large_4,Large,Low-High,303,474,0.6392405063291139
R3_large_4,Large,Low-Low,7,474,0.014767932489451477
R3_large_5,Large,High-High,129,217,0.5944700460829493
R3_large_5,Large,High-Low,0,217,0
R3_large_5,Large,Low-High,80,217,0.3686635944700461
R3_large_5,Large,Low-Low,8,217,0.03686635944700461
R3_large_6,Large,High-High,144,260,0.5538461538461539
R3_large_6,Large,High-Low,3,260,0.011538461538461539
R3_large_6,Large,Low-High,103,260,0.39615384615384613
R3_large_6,Large,Low-Low,10,260,0.038461538461538464
R3_large_7,Large,High-High,181,338,0.5355029585798816
R3_large_7,Large,High-Low,6,338,0.01775147928994083
R3_large_7,Large,Low-High,113,338,0.3343195266272189
R3_large_7,Large,Low-Low,38,338,0.11242603550295859
R3_small_1,Small,High-High,76,290,0.2620689655172414
R3_small_1,Small,High-Low,12,290,0.041379310344827586
R3_small_1,Small,Low-High,97,290,0.33448275862068966
R3_small_1,Small,Low-Low,105,290,0.3620689655172414
R4_large_1,Large,High-High,192,259,0.7413127413127413
R4_large_1,Large,High-Low,0,259,0
R4_large_1,Large,Low-High,66,259,0.2548262548262548
R4_large_1,Large,Low-Low,1,259,0.003861003861003861
R4_large_2,Large,High-High,311,590,0.5271186440677966
R4_large_2,Large,High-Low,8,590,0.013559322033898305
R4_large_2,Large,Low-High,224,590,0.37966101694915255
R4_large_2,Large,Low-Low,47,590,0.07966101694915254
R4_large_3,Large,High-High,214,521,0.4107485604606526
R4_large_3,Large,High-Low,27,521,0.05182341650671785
R4_large_3,Large,Low-High,214,521,0.4107485604606526
R4_large_3,Large,Low-Low,66,521,0.12667946257197696
R4_large_4,Large,High-High,173,326,0.5306748466257669
R4_large_4,Large,High-Low,0,326,0
R4_large_4,Large,Low-High,152,326,0.4662576687116564
R4_large_4,Large,Low-Low,1,326,0.003067484662576687
R4_large_5,Large,High-High,85,133,0.6390977443609023
R4_large_5,Large,High-Low,0,133,0
R4_large_5,Large,Low-High,48,133,0.3609022556390977
R4_large_5,Large,Low-Low,0,133,0
R4_small_2,Small,High-High,19,80,0.2375
R4_small_2,Small,High-Low,0,80,0
R4_small_2,Small,Low-High,58,80,0.725
R4_small_2,Small,Low-Low,3,80,0.0375
