Sample_ID,LargeSmall,Cluster_Moran_Senepy_Stem_Signature,k,n,prop
Pilot_large_1,Large,High-High,636,1026,0.6198830409356725
Pilot_large_1,Large,High-Low,23,1026,0.022417153996101363
Pilot_large_1,Large,Low-High,190,1026,0.18518518518518517
Pilot_large_1,Large,Low-Low,177,1026,0.17251461988304093
Pilot_large_2,Large,High-High,776,1387,0.5594808940158615
Pilot_large_2,Large,High-Low,22,1387,0.015861571737563085
Pilot_large_2,Large,Low-High,415,1387,0.29920692141312183
Pilot_large_2,Large,Low-Low,174,1387,0.1254506128334535
Pilot_small_1,Small,High-High,200,256,0.78125
Pilot_small_1,Small,High-Low,1,256,0.00390625
Pilot_small_1,Small,Low-High,54,256,0.2109375
Pilot_small_1,Small,Low-Low,1,256,0.00390625
R2_large_1,Large,High-High,244,288,0.8472222222222222
R2_large_1,Large,High-Low,0,288,0
R2_large_1,Large,Low-High,41,288,0.1423611111111111
R2_large_1,Large,Low-Low,3,288,0.010416666666666666
R2_large_2,Large,High-High,114,151,0.7549668874172185
R2_large_2,Large,High-Low,0,151,0
R2_large_2,Large,Low-High,28,151,0.18543046357615894
R2_large_2,Large,Low-Low,9,151,0.059602649006622516
R2_small_1,Small,High-High,11,22,0.5
R2_small_1,Small,High-Low,0,22,0
R2_small_1,Small,Low-High,11,22,0.5
R2_small_1,Small,Low-Low,0,22,0
R2_small_2,Small,High-High,35,60,0.5833333333333334
R2_small_2,Small,High-Low,7,60,0.11666666666666667
R2_small_2,Small,Low-High,17,60,0.2833333333333333
R2_small_2,Small,Low-Low,1,60,0.016666666666666666
R3_large_1,Large,High-High,493,593,0.8313659359190556
R3_large_1,Large,High-Low,0,593,0
R3_large_1,Large,Low-High,100,593,0.16863406408094436
R3_large_1,Large,Low-Low,0,593,0
R3_large_2,Large,High-High,744,1335,0.5573033707865168
R3_large_2,Large,High-Low,88,1335,0.06591760299625468
R3_large_2,Large,Low-High,203,1335,0.15205992509363295
R3_large_2,Large,Low-Low,300,1335,0.2247191011235955
R3_large_3,Large,High-High,455,510,0.8921568627450981
R3_large_3,Large,High-Low,1,510,0.00196078431372549
R3_large_3,Large,Low-High,54,510,0.10588235294117647
R3_large_3,Large,Low-Low,0,510,0
R3_large_4,Large,High-High,387,474,0.8164556962025317
R3_large_4,Large,High-Low,3,474,0.006329113924050633
R3_large_4,Large,Low-High,79,474,0.16666666666666666
R3_large_4,Large,Low-Low,5,474,0.010548523206751054
R3_large_5,Large,High-High,166,217,0.7649769585253456
R3_large_5,Large,High-Low,7,217,0.03225806451612903
R3_large_5,Large,Low-High,43,217,0.19815668202764977
R3_large_5,Large,Low-Low,1,217,0.004608294930875576
R3_large_6,Large,High-High,176,260,0.676923076923077
R3_large_6,Large,High-Low,5,260,0.019230769230769232
R3_large_6,Large,Low-High,71,260,0.27307692307692305
R3_large_6,Large,Low-Low,8,260,0.03076923076923077
R3_large_7,Large,High-High,211,338,0.6242603550295858
R3_large_7,Large,High-Low,33,338,0.09763313609467456
R3_large_7,Large,Low-High,83,338,0.2455621301775148
R3_large_7,Large,Low-Low,11,338,0.03254437869822485
R3_small_1,Small,High-High,133,290,0.4586206896551724
R3_small_1,Small,High-Low,43,290,0.1482758620689655
R3_small_1,Small,Low-High,40,290,0.13793103448275862
R3_small_1,Small,Low-Low,74,290,0.25517241379310346
R4_large_1,Large,High-High,220,259,0.8494208494208494
R4_large_1,Large,High-Low,0,259,0
R4_large_1,Large,Low-High,38,259,0.14671814671814673
R4_large_1,Large,Low-Low,1,259,0.003861003861003861
R4_large_2,Large,High-High,490,590,0.8305084745762712
R4_large_2,Large,High-Low,25,590,0.0423728813559322
R4_large_2,Large,Low-High,45,590,0.07627118644067797
R4_large_2,Large,Low-Low,30,590,0.05084745762711865
R4_large_3,Large,High-High,221,521,0.42418426103646834
R4_large_3,Large,High-Low,36,521,0.0690978886756238
R4_large_3,Large,Low-High,207,521,0.39731285988483683
R4_large_3,Large,Low-Low,57,521,0.10940499040307101
R4_large_4,Large,High-High,250,326,0.7668711656441718
R4_large_4,Large,High-Low,0,326,0
R4_large_4,Large,Low-High,75,326,0.23006134969325154
R4_large_4,Large,Low-Low,1,326,0.003067484662576687
R4_large_5,Large,High-High,82,133,0.6165413533834586
R4_large_5,Large,High-Low,0,133,0
R4_large_5,Large,Low-High,51,133,0.38345864661654133
R4_large_5,Large,Low-Low,0,133,0
R4_small_2,Small,High-High,59,80,0.7375
R4_small_2,Small,High-Low,3,80,0.0375
R4_small_2,Small,Low-High,18,80,0.225
R4_small_2,Small,Low-Low,0,80,0
