Sample_ID,group,rho_before,z_before,rho_after,z_after,delta_z,delta_rho_approx
Pilot_large_1,Large,0.40340999101324443,0.42771506829357864,0.3895481433771272,0.4112672325290556,-0.016447835764523022,-0.013861847636117253
Pilot_large_2,Large,0.15914682755135803,0.16051123106688828,0.1712060998452466,0.17290891988422047,0.012397688817332192,0.012059272293888562
Pilot_small_1,Small,0.33250174173594726,0.345638341114649,0.33718406570595066,0.3509119560848426,0.00527361497019363,0.004682323970003399
R2_large_1,Large,0.26560671589411844,0.2721311044805693,0.24622079256892093,0.2513856939815844,-0.02074541049898493,-0.01938592332519759
R2_large_2,Large,0.6162047991546293,0.718863442008549,0.6006902505079293,0.6942263957680956,-0.024637046240453375,-0.015514548646699988
R2_small_2,Small,0.0662352572800334,0.06633237348201657,0.034297046237344746,0.03431050346392216,-0.03202187001809441,-0.03193821104268866
R3_large_1,Large,0.26214436474328506,0.2684096204464023,0.24684252395213704,0.25204765815662233,-0.016361962289779985,-0.015301840791148075
R3_large_2,Large,0.4599598046601482,0.49726030533302495,0.4496368594459866,0.484245023190495,-0.01301528214252995,-0.01032294521416155
R3_large_3,Large,0.33574432700629186,0.3492884193641043,0.31953052696163736,0.33112416472277223,-0.01816425464133209,-0.016213800044654558
R3_large_4,Large,0.3434753779572298,0.35802745152105375,0.34013202621688676,0.35424181991585707,-0.003785631605196682,-0.003343351740342948
R3_large_5,Large,0.16651818399586807,0.168083397163988,0.15032045513832681,0.15146828341357102,-0.016615113750416993,-0.016197728857541283
R3_large_6,Large,0.1187047530673527,0.11926706387005273,0.11258136610940968,0.11306065620919875,-0.00620640766085398,-0.006123386957943039
R3_large_7,Large,0.15843580323525783,0.15978181471564995,0.18650460272094174,0.1887133431955912,0.028931528479941238,0.028068799485683915
R3_small_1,Small,0.36377615373528277,0.38123112690924965,0.34346774012936976,0.35801879212019055,-0.023212334789059097,-0.020308413605913067
R4_large_1,Large,0.6065822690658246,0.7034962057116904,0.4480708907490376,0.4822839583435078,-0.22121224736818257,-0.15851137831678713
R4_large_2,Large,0.4898135005618731,0.5358149398263149,0.46673413104147266,0.5058867063809847,-0.029928233445330243,-0.023079369520400517
R4_large_3,Large,0.029769970767757656,0.029778770004269123,0.03132953573376821,0.03133979217021632,0.0015610221659471957,0.0015595649660105591
R4_large_4,Large,0.4510723872465206,0.4860457797826444,0.3940700092260613,0.41660917963296723,-0.06943660014967717,-0.05700237802045921
R4_large_5,Large,0.229686494490162,0.23385847567631834,0.21942424328710955,0.22305114879174903,-0.010807326884569313,-0.010262251203052436
R4_small_1,Small,0.2577440093512566,0.2636903709145191,0.2531268264172999,0.2587508891396927,-0.004939481774826393,-0.004617182933956743
R4_small_2,Small,0.107238179146137,0.10765211977353395,0.1179253489895868,0.1184765944016412,0.010824474628107247,0.010687169843449806
