Adenoma,distance_bin_um,mean_score,median_score,n_spots
Adenoma,150,0.43414823443634337,0.4382682244128028,2691
Adenoma,250,0.4051918376189681,0.4134720700985761,1474
Adenoma,350,0.3886024646641371,0.38920834854569797,1212
Adenoma,450,0.37798642491468953,0.380765486187173,979
Adenoma,550,0.36560080372949777,0.3610502616526713,848
Adenoma,650,0.3735467788672663,0.3674394547888524,881
Adenoma,750,0.36873680540168585,0.3688694170621881,697
Adenoma,850,0.3675179529671717,0.37112084702446146,512
Adenoma,950,0.3647129871876018,0.36454910551296094,458
Adenoma,1050,0.37313517392453827,0.3778751369112815,406
Adenoma,1150,0.37062628334097186,0.3789856395278082,376
Adenoma,1250,0.3810490881274014,0.39076000973591335,336
Adenoma,1350,0.37468357414809894,0.38079591091639287,351
Adenoma,1450,0.37990498522160054,0.3611871729341609,258
Adenoma,1550,0.3667607169356101,0.3800352926858951,217
Adenoma,1650,0.3693480777753698,0.37172934160885973,187
Adenoma,1750,0.37225301573603875,0.37976147012291595,165
Adenoma,1850,0.3847595120185482,0.3788639406109286,156
Adenoma,1950,0.34028155633285834,0.3271875380309115,155
Adenoma,2050,0.33461946961399314,0.3232931726907631,121
Adenoma,2150,0.3184626618361558,0.31796884507727885,65
Adenoma,2250,0.2503519723576421,0.2256602166240721,51
Adenoma,2350,0.22116146814941998,0.2043324814409152,37
Adenoma,2450,0.16132244596100018,0.13913228672264816,26
Adenoma,2550,0.11757967310612673,0.11381891201168315,23
Adenoma,2650,0.1362652034161602,0.11403188511622242,17
Adenoma,2750,0.154740172812462,0.12577583059510772,10
Normal,150,0.14228260966108644,0.1250912741876597,1562
Normal,250,0.1654224707688563,0.16068820737495437,1144
Normal,350,0.1725776218887202,0.16590604843616896,1191
Normal,450,0.17504354830918326,0.17319277108433734,1174
Normal,550,0.17170225278903647,0.16593647316538884,985
Normal,650,0.16849817895832778,0.16049044663502499,863
Normal,750,0.15541671988306582,0.15390349275891446,566
Normal,850,0.15393008986090992,0.15469453571863212,310
Normal,950,0.15072315778264572,0.14835097967628091,192
Normal,1050,0.13997760739929416,0.13904101253498846,125
Normal,1150,0.136715282181357,0.1363027869051966,95
Normal,1250,0.1295275377604695,0.10949860046245585,90
Normal,1350,0.15988502870863774,0.13542046975781918,89
Normal,1450,0.1412075067948562,0.12023852987708405,96
Normal,1550,0.12393243005692804,0.10934647681635634,90
Normal,1650,0.15013267025862864,0.15756967262991356,66
Normal,1750,0.143930266520628,0.12834672021419008,60
Normal,1850,0.13505963246927102,0.12048192771084337,50
Normal,1950,0.11841739251377806,0.11792625045637095,42
Normal,2050,0.12127297067056103,0.10571072167457707,40
Normal,2150,0.10107018985031033,0.08947912863575513,40
Normal,2250,0.09462448725382815,0.08374406717780214,34
Normal,2350,0.09221040004172534,0.06641718388706341,35
Normal,2450,0.12585406561310175,0.1231136667883656,28
Normal,2550,0.12467563312880063,0.1300048679566752,31
Normal,2650,0.15836927254472435,0.14743823779968357,32
Normal,2750,0.18451804583287035,0.17597663380795914,23
Normal,2850,0.1995253742241694,0.18648837775343802,10
