Annotation Name,Area (µm^2),Cell Count,Transcript Count
Y2-TA-2_LGD-1,33992.65,429,0
Y2-TA-2_LGD-2,67313.05,573,0
T1-TA-1_LGD-1,240297.07,2028,0
Y1-TA-1_LGD-1,626162.13,6642,0
Y1-TA-2_LGD-1,24029.42,363,0
Y1-TA-2_LGD-2,12726.25,183,0
Y1-TA-2_LGD-3,16006.05,180,0
Y1-TA-2_LGD-4,10246.09,93,0
R1-CA-2_LGD-1,788938.79,6022,0

Annotation Name,Cell ID,Cluster ID,Total Transcripts,Cell Area
Y2-TA-2_LGD-1,jffnokde-1,Cluster 7,0,26.24
Y2-TA-2_LGD-1,jfmhdcoc-1,Cluster 3,0,15.76
Y2-TA-2_LGD-1,jfgemfpc-1,Cluster 7,0,90.18
Y2-TA-2_LGD-1,jfgdiikc-1,Cluster 3,0,75.09
Y2-TA-2_LGD-1,jfgehlha-1,Cluster 1,0,34.73
Y2-TA-2_LGD-1,jfknajbp-1,Cluster 3,0,36.08
Y2-TA-2_LGD-1,jfknnpip-1,Cluster 7,0,49.63
Y2-TA-2_LGD-1,ahlhkpli-1,Cluster 7,0,70.35
Y2-TA-2_LGD-1,jfcpgben-1,Cluster 7,0,22.08
Y2-TA-2_LGD-1,jfkockpc-1,Cluster 7,0,26.82
Y2-TA-2_LGD-1,jfkocnfj-1,Cluster 7,0,34.95
Y2-TA-2_LGD-1,ahlhliic-1,Cluster 1,0,50.48
Y2-TA-2_LGD-1,jfllbhan-1,Cluster 6,0,41.41
Y2-TA-2_LGD-1,jfgboojh-1,Cluster 5,0,48.32
Y2-TA-2_LGD-1,jflkmmmd-1,Cluster 17,0,41.77
Y2-TA-2_LGD-1,jflmcbbk-1,Cluster 1,0,43.53
Y2-TA-2_LGD-1,jfgdpocm-1,Cluster 8,0,93.20
Y2-TA-2_LGD-1,jfgcjlpo-1,Cluster 8,0,67.51
Y2-TA-2_LGD-1,jfgfheam-1,Cluster 3,0,25.87
Y2-TA-2_LGD-1,jfgfecka-1,Cluster 1,0,60.83
Y2-TA-2_LGD-1,jflkpdll-1,Cluster 17,0,34.32
Y2-TA-2_LGD-1,jflmlbfh-1,Cluster 1,0,48.18
Y2-TA-2_LGD-1,ahlbacjd-1,Cluster 1,0,54.50
Y2-TA-2_LGD-1,jfgbojbc-1,Cluster 1,0,42.27
Y2-TA-2_LGD-1,jfgeidbm-1,Cluster 5,0,142.42
Y2-TA-2_LGD-1,jfgekjlb-1,Cluster 3,0,26.06
Y2-TA-2_LGD-1,jfkoblid-1,Cluster 7,0,69.09
Y2-TA-2_LGD-1,jfdalhaj-1,Cluster 3,0,26.64
Y2-TA-2_LGD-1,jfkmknkm-1,Cluster 13,0,28.49
Y2-TA-2_LGD-1,jfcpibha-1,Cluster 12,0,59.06
Y2-TA-2_LGD-1,jfgfejch-1,Cluster 1,0,48.81
Y2-TA-2_LGD-1,jfcplcad-1,Cluster 5,0,42.27
Y2-TA-2_LGD-1,jfcplnpj-1,Cluster 12,0,50.48
Y2-TA-2_LGD-1,jfcpnlmm-1,Cluster 3,0,24.75
Y2-TA-2_LGD-1,jfkjfebe-1,Cluster 16,0,67.37
Y2-TA-2_LGD-1,jfdaceea-1,Cluster 7,0,87.02
