Annotation Name,Area (µm^2),Cell Count,Transcript Count
J1-CA-2_CA-1,47297.67,424,0
J1-CA-2_CA-2,37938.05,320,0
J1-CA-2_CA-3,46305.91,571,0
J1-CA-2_CA-4,34204.88,259,0
L1-TA-4_HGD-1,225146.10,1380,0
L1-TA-4_HGD-2,66107.21,667,0
Q1-TA-4_HGD-1,642928.33,6353,0
L1-TA-1_LGD-1,414872.00,4601,0
M1-TA-1_LGD-1,582730.84,6208,0

Annotation Name,Cell ID,Cluster ID,Total Transcripts,Cell Area
J1-CA-2_CA-1,maickbmb-1,Cluster 19,0,50.62
J1-CA-2_CA-1,magilbjh-1,Cluster 6,0,59.29
J1-CA-2_CA-1,magigikj-1,Cluster 15,0,32.29
J1-CA-2_CA-1,magipigg-1,Cluster 20,0,94.33
J1-CA-2_CA-1,mahppngj-1,Cluster 3,0,50.80
J1-CA-2_CA-1,magjfijp-1,Cluster 6,0,44.07
J1-CA-2_CA-1,magjglhh-1,Cluster 6,0,11.20
J1-CA-2_CA-1,maidckka-1,Cluster 6,0,42.36
J1-CA-2_CA-1,magjgchg-1,Cluster 6,0,48.90
J1-CA-2_CA-1,mahddmgn-1,Cluster 3,0,53.06
J1-CA-2_CA-1,maiemhpm-1,Cluster 3,0,49.36
J1-CA-2_CA-1,maielcea-1,Cluster 3,0,79.79
J1-CA-2_CA-1,maiehicf-1,Cluster 3,0,28.00
J1-CA-2_CA-1,mahdfehb-1,Cluster 3,0,50.98
J1-CA-2_CA-1,mahdeood-1,Cluster 3,0,53.33
J1-CA-2_CA-1,maiekejo-1,Cluster 9,0,23.53
J1-CA-2_CA-1,maieknmf-1,Cluster 3,0,59.47
J1-CA-2_CA-1,maieiief-1,Cluster 3,0,62.90
J1-CA-2_CA-1,maiaikhp-1,Cluster 3,0,45.38
J1-CA-2_CA-1,maiajelj-1,Cluster 19,0,34.59
J1-CA-2_CA-1,mahemoog-1,Cluster 3,0,114.16
J1-CA-2_CA-1,mahgaihj-1,Cluster 9,0,23.89
J1-CA-2_CA-1,maidepnj-1,Cluster 27,0,63.08
J1-CA-2_CA-1,mahgdjoh-1,Cluster 6,0,32.74
J1-CA-2_CA-1,maidccik-1,Cluster 6,0,44.43
J1-CA-2_CA-1,mahfphcg-1,Cluster 3,0,126.08
J1-CA-2_CA-1,magibcdl-1,Cluster 3,0,42.27
J1-CA-2_CA-1,mahfeann-1,Cluster 3,0,120.43
J1-CA-2_CA-1,mahgacio-1,Cluster 6,0,74.01
J1-CA-2_CA-1,magichdn-1,Cluster 3,0,92.89
J1-CA-2_CA-1,maghdfee-1,Cluster 3,0,111.76
J1-CA-2_CA-1,maidbjko-1,Cluster 3,0,134.25
J1-CA-2_CA-1,dkhlomhk-1,Cluster 12,0,68.28
